,TF,Term,wTF
674,1479,open,0.006745754826703885
647,1081,development,0.004930467185711223
919,972,innovation,0.004433315545338861
757,950,technology,0.004332973012419669
758,880,sustainable,0.004013701316767693
630,853,source,0.0038905536627305026
567,785,design,0.0035804040155257262
1027,781,new,0.0035621599186313278
380,761,use,0.003470939434159335
23,750,research,0.0034207681676997385
1566,733,energy,0.0033432307558985447
503,681,world,0.0031060574962713627
131,656,social,0.0029920318906813716
454,624,used,0.0028460791155261824
433,586,environmental,0.002672760195029396
804,583,process,0.002659077122358597
802,520,software,0.002371732596271819
2410,520,sustainability,0.002371732596271819
400,514,system,0.0023443664509302208
830,510,knowledge,0.0023261223540358223
54,508,human,0.002317000305588623
518,491,information,0.002239462893787429
220,487,people,0.0022212187968930304
1779,486,creativity,0.0022166577726694305
548,479,work,0.002184730603104233
983,476,water,0.0021710475304334343
494,450,based,0.0020524609006198433
896,446,countries,0.0020342168037254444
1269,440,will,0.0020068506583838467
1237,438,public,0.0019977286099366475
51,437,free,0.0019931675857130476
912,429,high,0.0019566793919242507
1060,422,management,0.0019247522223590529
186,421,economic,0.0019201911981354533
424,421,population,0.0019201911981354533
1917,414,carbon,0.0018882640285702557
1022,411,production,0.0018745809558994569
686,410,systems,0.0018700199316758572
313,405,example,0.001847214810557859
1262,397,change,0.0018107266167690617
1128,394,global,0.0017970435440982627
633,392,business,0.0017879214956510634
553,389,united,0.0017742384229802643
317,382,time,0.0017423112534150668
200,380,term,0.0017331892049678675
3507,380,emissions,0.0017331892049678675
197,378,community,0.0017240671565206683
127,365,market,0.0016647738416138728
673,362,science,0.001651090768943074
780,362,project,0.001651090768943074
2195,359,power,0.0016374076962722749
1261,358,thinking,0.0016328466720486753
1694,355,standards,0.0016191635993778764
584,353,resources,0.001610041550930677
442,352,using,0.0016054805267070773
675,352,hardware,0.0016054805267070773
215,348,standard,0.0015872364298126788
1993,343,theory,0.0015644313086946805
177,340,environment,0.0015507482360238814
554,338,states,0.0015416261875766822
662,329,products,0.0015005769695642854
189,327,product,0.001491454921117086
719,326,food,0.0014868938968934863
1173,322,developed,0.0014686497999990878
1372,322,different,0.0014686497999990878
