,TF,Term,Stem,wTF,SType,Score,wTFref
0,164,innovation,innov,0.10347003154574133,raw,8.839572641196932,1.4991219428620379e-05
27,26,innovations,innov,0.016403785488958992,raw,7.557418539329639,8.566411102068788e-06
86,13,global,global,0.008201892744479496,raw,6.8642713587696935,8.566411102068788e-06
47,14,organizational,organiz,0.008832807570977918,raw,6.7152357796092055,1.0708013877585985e-05
189,9,user,user,0.0056782334384858045,raw,6.496546578644376,8.566411102068788e-06
240,6,oslo,oslo,0.0037854889589905363,raw,5.867937919222002,1.0708013877585985e-05
202,6,users,user,0.0037854889589905363,raw,5.685616362428048,1.2849616653103182e-05
121,5,clusters,cluster,0.0031545741324921135,raw,5.685616362428048,1.0708013877585985e-05
62,9,manual,manual,0.0056782334384858045,raw,5.685616362428047,1.9274424979654775e-05
100,6,inventor,inventor,0.0037854889589905363,raw,5.531465682600789,1.4991219428620379e-05
244,4,citation,citat,0.002523659305993691,raw,5.462472811113838,1.0708013877585985e-05
141,3,disruptive,disrupt,0.0018927444794952682,raw,5.397934289976266,8.566411102068788e-06
91,4,innovate,innov,0.002523659305993691,stem,5.367162631309513,1.1778815265344584e-05
131,4,innovative,innov,0.002523659305993691,stem,5.367162631309513,1.1778815265344584e-05
66,3,novelty,novelti,0.0018927444794952682,raw,5.174790738662057,1.0708013877585985e-05
113,23,technology,technolog,0.014511041009463722,raw,5.059910462663635,9.208891934723948e-05
85,6,focused,focus,0.0037854889589905363,raw,4.992469181868103,2.5699233306206364e-05
51,3,indices,indic,0.0018927444794952682,raw,4.838318502040844,1.4991219428620379e-05
177,3,environmental,environment,0.0018927444794952682,raw,4.838318502040844,1.4991219428620379e-05
31,7,economics,econom,0.004416403785488959,raw,4.798313167427145,3.640724718379235e-05
268,8,poverty,poverti,0.005047318611987382,raw,4.769325630553893,4.283205551034394e-05
160,7,technological,technolog,0.004416403785488959,raw,4.741154753587196,3.854884995930955e-05
25,3,implementation,implement,0.0018927444794952682,raw,4.704787109416322,1.7132822204137576e-05
243,3,tech,tech,0.0018927444794952682,raw,4.704787109416322,1.7132822204137576e-05
186,4,expenditure,expenditur,0.002523659305993691,raw,4.674015450749567,2.355763053068917e-05
45,8,diffusion,diffus,0.005047318611987382,raw,4.587004073759938,5.139846661241273e-05
260,4,switzerland,switzerland,0.002523659305993691,raw,4.587004073759938,2.5699233306206364e-05
50,3,indicators,indic,0.0018927444794952682,raw,4.587004073759938,1.9274424979654775e-05
253,3,sweden,sweden,0.0018927444794952682,raw,4.481643558102111,2.141602775517197e-05
64,3,adoption,adopt,0.0018927444794952682,raw,4.3863333782977865,2.355763053068917e-05
143,8,competitive,competit,0.005047318611987382,raw,4.331070699622737,6.638968604103311e-05
196,6,manufacturing,manufactur,0.0037854889589905363,raw,4.299322001308157,5.139846661241273e-05
24,5,invention,invent,0.0031545741324921135,raw,4.299322001308157,4.283205551034394e-05
155,4,typically,typic,0.002523659305993691,raw,4.299322001308157,3.426564440827515e-05
262,3,korea,korea,0.0018927444794952682,raw,4.299322001308157,2.5699233306206364e-05
242,5,mode,mode,0.0031545741324921135,raw,4.250531837138725,4.4973658285861136e-05
235,7,measuring,measur,0.004416403785488959,raw,4.230329129821206,6.424808326551591e-05
105,3,sector,sector,0.0018927444794952682,raw,4.219279293634621,2.7840836081723563e-05
272,3,ministry,ministri,0.0018927444794952682,raw,4.219279293634621,2.7840836081723563e-05
148,4,businesses,busi,0.002523659305993691,raw,4.127471744381498,4.0690452734826745e-05
197,4,patents,patent,0.002523659305993691,raw,4.127471744381498,4.0690452734826745e-05
46,10,measures,measur,0.006309148264984227,raw,4.096381157311467,0.00010493853600034265
44,8,goals,goal,0.005047318611987382,raw,4.0761784499939475,8.566411102068788e-05
126,3,linked,link,0.0018927444794952682,raw,4.011639928856376,3.426564440827515e-05
83,3,comparative,compar,0.0018927444794952682,raw,3.9510153070399414,3.640724718379235e-05
13,18,products,product,0.011356466876971609,raw,3.8938568931999926,0.00023129309975585728
247,4,rank,rank,0.002523659305993691,raw,3.8938568931999926,5.139846661241273e-05
159,3,emerge,emerg,0.0018927444794952682,raw,3.8938568931999926,3.854884995930955e-05
16,5,technologies,technolog,0.0031545741324921135,stem,3.8773275912487817,6.531888465327452e-05
19,5,markets,market,0.0031545741324921135,raw,3.861067070377002,6.638968604103311e-05
14,9,processes,process,0.0056782334384858045,raw,3.839789671929717,0.00012207135820448023
41,6,definition,definit,0.0037854889589905363,raw,3.839789671929717,8.138090546965349e-05
225,7,curve,curv,0.004416403785488959,raw,3.824864021713041,9.637212489827387e-05
178,3,grants,grant,0.0018927444794952682,raw,3.7884963775421663,4.283205551034394e-05
77,13,product,product,0.008201892744479496,raw,3.7846576012350006,0.00018631944146999614
169,3,trends,trend,0.0018927444794952682,raw,3.7397062133727346,4.4973658285861136e-05
239,5,foundation,foundat,0.0031545741324921135,raw,3.6574681151357624,8.138090546965349e-05
42,8,organizations,organ,0.005047318611987382,raw,3.6541840399345724,0.000130637769306549
172,5,tool,tool,0.0031545741324921135,raw,3.606174820748212,8.566411102068788e-05
224,3,access,access,0.0018927444794952682,raw,3.606174820748212,5.139846661241273e-05
228,3,cycle,cycl,0.0018927444794952682,raw,3.606174820748212,5.139846661241273e-05
6,3,viewed,view,0.0018927444794952682,raw,3.5653528262279566,5.3540069387929924e-05
198,3,productive,product,0.0018927444794952682,raw,3.5653528262279566,5.3540069387929924e-05
217,4,vary,vari,0.002523659305993691,raw,3.545550198931777,7.28144943675847e-05
158,3,foundational,foundat,0.0018927444794952682,stem,3.526132113074675,5.5681672163447126e-05
73,4,patent,patent,0.002523659305993691,raw,3.5165626620585244,7.49560971431019e-05
122,19,research,research,0.011987381703470032,raw,3.4883917850918285,0.0003662140746134407
149,6,becoming,becom,0.0037854889589905363,raw,3.4343245638215527,0.00012207135820448023
263,4,japan,japan,0.002523659305993691,raw,3.4343245638215527,8.138090546965349e-05
218,6,causes,caus,0.0037854889589905363,raw,3.416932821109683,0.00012421296097999744
2,4,defined,defin,0.002523659305993691,raw,3.408349077418292,8.352250824517069e-05
71,5,creative,creativ,0.0031545741324921135,raw,3.403233976751521,0.00010493853600034265
108,12,based,base,0.007570977917981073,raw,3.3913995191045188,0.00025485073028654645
32,9,management,manag,0.0056782334384858045,raw,3.371981433247417,0.00019488585257206492
80,15,growth,growth,0.00946372239747634,raw,3.350241446611011,0.00033194843020516553
230,3,decline,declin,0.0018927444794952682,raw,3.350241446611011,6.638968604103311e-05
187,5,widely,wide,0.0031545741324921135,raw,3.3438105562807205,0.00011136334432689425
124,4,regional,region,0.002523659305993691,raw,3.33424110526457,8.994731657172227e-05
246,3,effectiveness,effect,0.0018927444794952682,raw,3.3184927482964306,6.85312888165503e-05
194,4,marketing,market,0.002523659305993691,raw,3.310710607854376,9.208891934723948e-05
107,8,companies,compani,0.005047318611987382,raw,3.2991497854533,0.00018631944146999614
97,6,employees,employe,0.0037854889589905363,raw,3.2877210896296774,0.000141345783184135
70,4,includes,includ,0.002523659305993691,raw,3.2652482337776183,9.637212489827387e-05
130,3,findings,find,0.0018927444794952682,raw,3.257868126479996,7.28144943675847e-05
166,3,measurement,measur,0.0018927444794952682,raw,3.257868126479996,7.28144943675847e-05
28,17,process,process,0.010725552050473186,raw,3.2407150472537465,0.0004197541440013706
229,3,revenue,revenu,0.0018927444794952682,raw,3.2288805896067436,7.49560971431019e-05
208,5,technique,techniqu,0.0031545741324921135,raw,3.200709712640047,0.00012849616653103183
88,3,industries,industri,0.0018927444794952682,raw,3.200709712640047,7.70976999186191e-05
221,5,associated,associ,0.0031545741324921135,raw,3.1841804106888367,0.000130637769306549
56,3,survey,survey,0.0018927444794952682,raw,3.173310738451933,7.92393026941363e-05
53,27,development,develop,0.017034700315457414,raw,3.1703122354556763,0.0007152953270227439
128,4,efficiency,effici,0.002523659305993691,raw,3.1598877181197924,0.00010708013877585985
43,7,sources,sourc,0.004416403785488959,raw,3.1541896970051546,0.00018846104424551335
40,3,consumer,consum,0.0018927444794952682,raw,3.1466424913697715,8.138090546965349e-05
156,6,model,model,0.0037854889589905363,raw,3.133570409802419,0.00016490341371482416
236,7,measure,measur,0.004416403785488959,raw,3.120667004966511,0.00019488585257206492
87,6,economy,economi,0.0037854889589905363,raw,3.107927979189081,0.00016918661926585858
179,3,focus,focu,0.0018927444794952682,raw,3.095349196982221,8.566411102068788e-05
200,3,customers,custom,0.0018927444794952682,raw,3.095349196982221,8.566411102068788e-05
26,4,improved,improv,0.002523659305993691,raw,3.0645775383154676,0.00011778815265344584
111,4,firms,firm,0.002523659305993691,raw,3.0645775383154676,0.00011778815265344584
11,11,market,market,0.00694006309148265,raw,3.0400865183071715,0.00033194843020516553
81,3,transportation,transport,0.0018927444794952682,raw,3.0230285354025948,9.208891934723948e-05
231,3,investment,invest,0.0018927444794952682,raw,3.0230285354025948,9.208891934723948e-05
254,5,finland,finland,0.0031545741324921135,noref,2.9841738613304125,
264,5,huebner,huebner,0.0031545741324921135,noref,2.9841738613304125,
10,4,existing,exist,0.002523659305993691,raw,2.9775661613258375,0.00012849616653103183
190,3,identified,identifi,0.0018927444794952682,raw,2.9555872546070625,9.851372767379107e-05
18,3,models,model,0.0018927444794952682,raw,2.9340810493860987,0.00010065533044930826
129,3,competitiveness,competit,0.0018927444794952682,stem,2.9340810493860987,0.00010065533044930827
48,13,level,level,0.008201892744479496,raw,2.8892735541801593,0.000456161391185163
161,4,communication,commun,0.002523659305993691,raw,2.867218104156972,0.0001434873859596522
249,9,countries,countri,0.0056782334384858045,raw,2.865561102949343,0.00032338201910309675
266,3,ages,age,0.0018927444794952682,raw,2.8524030183718314,0.00010922174155137706
106,3,eventually,eventu,0.0018927444794952682,raw,2.83298493251473,0.00011136334432689425
193,3,developing,develop,0.0018927444794952682,raw,2.83298493251473,0.00011136334432689425
15,8,services,servic,0.005047318611987382,raw,2.830583970977192,0.0002976827857968904
270,3,negative,neg,0.0018927444794952682,raw,2.8139367375440356,0.00011350494710241145
182,5,failure,failur,0.0031545741324921135,raw,2.806417905130008,0.00019060264702103053
84,4,advantage,advantag,0.002523659305993691,raw,2.781451282399547,0.00015633700261275538
33,7,science,scienc,0.004416403785488959,raw,2.7563291882822094,0.0002805499635927528
1,3,uses,use,0.0018927444794952682,raw,2.706691207190438,0.00012635456375551462
133,3,providing,provid,0.0018927444794952682,raw,2.706691207190438,0.00012635456375551462
216,4,reduced,reduc,0.002523659305993691,raw,2.702462871080917,0.00016918661926585858
256,4,germany,germani,0.002523659305993691,raw,2.6774615688754992,0.00017346982481689297
20,3,governments,govern,0.0018927444794952682,raw,2.6733547869228462,0.000130637769306549
151,3,reduce,reduc,0.0018927444794952682,raw,2.657094266051066,0.00013277937208206622
220,3,internal,intern,0.0018927444794952682,raw,2.657094266051066,0.00013277937208206622
201,7,using,use,0.004416403785488959,raw,2.6547927690627864,0.00031053240244999355
234,5,factors,factor,0.0031545741324921135,raw,2.6316151807500807,0.0002270098942048229
104,8,developed,develop,0.005047318611987382,raw,2.6292594670576217,0.0003640724718379235
58,8,industry,industri,0.005047318611987382,raw,2.623394347605224,0.0003662140746134407
142,4,key,key,0.002523659305993691,raw,2.5945739090697315,0.00018846104424551335
204,4,develop,develop,0.002523659305993691,raw,2.5832743538157987,0.00019060264702103053
140,3,potential,potenti,0.0018927444794952682,raw,2.5795360317051914,0.0001434873859596522
60,3,organisation,organis,0.0018927444794952682,noref,2.5728010052549894,
96,3,silicon,silicon,0.0018927444794952682,noref,2.5728010052549894,
98,3,shockley,shockley,0.0018927444794952682,noref,2.5728010052549894,
138,3,drucker,drucker,0.0018927444794952682,noref,2.5728010052549894,
192,3,macro,macro,0.0018927444794952682,noref,2.5728010052549894,
248,3,bloomberg,bloomberg,0.0018927444794952682,noref,2.5728010052549894,
250,3,insead,insead,0.0018927444794952682,noref,2.5728010052549894,
223,5,poor,poor,0.0031545741324921135,raw,2.5676664561498073,0.00024200111363344327
55,3,policies,polici,0.0018927444794952682,raw,2.5647209459200506,0.0001456289887351694
109,3,leading,lead,0.0018927444794952682,raw,2.5647209459200506,0.0001456289887351694
89,4,structure,structur,0.002523659305993691,raw,2.561051217031088,0.00019488585257206492
93,5,quality,qualiti,0.0031545741324921135,raw,2.5588558264676524,0.00024414271640896046
17,17,business,busi,0.010725552050473186,raw,2.5450200946150026,0.0008416498907782584
82,3,factor,factor,0.0018927444794952682,raw,2.521548774054842,0.000152053797061721
136,3,resources,resourc,0.0018927444794952682,raw,2.507562532080102,0.0001541953998372382
132,5,performance,perform,0.0031545741324921135,raw,2.4910332301288913,0.000261275538613098
23,4,related,relat,0.002523659305993691,raw,2.4469379102636672,0.0002184434831027541
68,5,systems,system,0.0031545741324921135,raw,2.4352418705004757,0.0002762667580417184
144,3,traditional,tradit,0.0018927444794952682,raw,2.4275198244065654,0.00016704501649034137
269,3,funding,fund,0.0018927444794952682,stem,2.4211300263077944,0.00016811581787809997
212,3,studied,studi,0.0018927444794952682,raw,2.4147807986291356,0.00016918661926585858
184,3,recognized,recogn,0.0018927444794952682,raw,2.4022020164222755,0.00017132822204137576
237,4,established,establish,0.002523659305993691,raw,2.3897794964237185,0.00023129309975585728
75,4,firm,firm,0.002523659305993691,raw,2.3805628413187945,0.0002334347025313745
251,3,capacity,capac,0.0018927444794952682,raw,2.3653880432995593,0.00017775303036792736
213,5,programs,program,0.0031545741324921135,raw,2.360580341731456,0.0002976827857968904
67,5,methods,method,0.0031545741324921135,raw,2.3392272172608872,0.000304107594123442
195,4,design,design,0.002523659305993691,raw,2.335712275153443,0.00024414271640896046
30,3,scientific,scientif,0.0018927444794952682,raw,2.32988135484265,0.00018417783869447896
211,3,significant,signific,0.0018927444794952682,raw,2.32988135484265,0.00018417783869447896
167,6,data,data,0.0037854889589905363,raw,2.3240842371583237,0.0003704972801644751
120,5,knowledge,knowledg,0.0031545741324921135,raw,2.3183205324415734,0.00031053240244999355
95,10,example,exampl,0.006309148264984227,raw,2.3114476531538113,0.0006253480104510215
199,3,bottom,bottom,0.0018927444794952682,raw,2.3068918366179507,0.00018846104424551335
9,5,needs,need,0.0031545741324921135,raw,2.2711737540158716,0.00032552362187861396
34,3,practice,practic,0.0018927444794952682,raw,2.2409338688261533,0.00020131066089861652
185,3,source,sourc,0.0018927444794952682,raw,2.2409338688261533,0.00020131066089861652
92,4,ways,way,0.002523659305993691,raw,2.219880459628321,0.0002741251552662012
12,4,effective,effect,0.002523659305993691,raw,2.212098319186266,0.0002762667580417184
203,4,lead,lead,0.002523659305993691,raw,2.212098319186266,0.0002762667580417184
241,3,claim,claim,0.0018927444794952682,raw,2.1992611724255853,0.0002098770720006853
257,4,association,associ,0.002523659305993691,raw,2.1891088009615673,0.00028269156636827
112,8,information,inform,0.005047318611987382,raw,2.1703465245060443,0.000576091146614126
168,7,areas,area,0.004416403785488959,raw,2.167694706457751,0.0005054182550220585
22,3,original,origin,0.0018927444794952682,raw,2.1494996628665217,0.0002205850858782713
61,7,economic,econom,0.004416403785488959,raw,2.1384650681428123,0.0005204094744506789
259,6,education,educ,0.0037854889589905363,raw,2.1113998166342514,0.00045830299396068015
162,5,support,support,0.0031545741324921135,raw,2.1020974239719377,0.0003854884995930955
39,3,growing,grow,0.0018927444794952682,raw,2.1020974239719377,0.00023129309975585728
173,3,income,incom,0.0018927444794952682,raw,2.0928807688670137,0.0002334347025313745
157,6,cost,cost,0.0037854889589905363,raw,2.043653828101863,0.0004904270355934381
226,3,decision,decis,0.0018927444794952682,raw,2.005105157984628,0.00025485073028654645
176,3,approach,approach,0.0018927444794952682,raw,1.9720442957237398,0.00026341714138861523
135,3,groups,group,0.0018927444794952682,raw,1.955914913793856,0.00026770034693964965
54,10,government,govern,0.006309148264984227,raw,1.952720022897337,0.0008951899601661883
219,3,organization,organ,0.0018927444794952682,raw,1.9321983871765402,0.0002741251552662012
