,TF,Term,Stem,wTF,SType,Score,wTFref
0,164,innovation,innov,0.10347003154574133,raw,8.839572641196932,1.4991219428620379e-05
27,26,innovations,innov,0.016403785488958992,raw,7.557418539329639,8.566411102068788e-06
86,13,global,global,0.008201892744479496,raw,6.8642713587696935,8.566411102068788e-06
47,14,organizational,organiz,0.008832807570977918,raw,6.7152357796092055,1.0708013877585985e-05
189,9,user,user,0.0056782334384858045,raw,6.496546578644376,8.566411102068788e-06
240,6,oslo,oslo,0.0037854889589905363,raw,5.867937919222002,1.0708013877585985e-05
202,6,users,user,0.0037854889589905363,raw,5.685616362428048,1.2849616653103182e-05
121,5,clusters,cluster,0.0031545741324921135,raw,5.685616362428048,1.0708013877585985e-05
62,9,manual,manual,0.0056782334384858045,raw,5.685616362428047,1.9274424979654775e-05
100,6,inventor,inventor,0.0037854889589905363,raw,5.531465682600789,1.4991219428620379e-05
244,4,citation,citat,0.002523659305993691,raw,5.462472811113838,1.0708013877585985e-05
141,3,disruptive,disrupt,0.0018927444794952682,raw,5.397934289976266,8.566411102068788e-06
91,4,innovate,innov,0.002523659305993691,stem,5.367162631309513,1.1778815265344584e-05
131,4,innovative,innov,0.002523659305993691,stem,5.367162631309513,1.1778815265344584e-05
66,3,novelty,novelti,0.0018927444794952682,raw,5.174790738662057,1.0708013877585985e-05
113,23,technology,technolog,0.014511041009463722,raw,5.059910462663635,9.208891934723948e-05
85,6,focused,focus,0.0037854889589905363,raw,4.992469181868103,2.5699233306206364e-05
51,3,indices,indic,0.0018927444794952682,raw,4.838318502040844,1.4991219428620379e-05
177,3,environmental,environment,0.0018927444794952682,raw,4.838318502040844,1.4991219428620379e-05
31,7,economics,econom,0.004416403785488959,raw,4.798313167427145,3.640724718379235e-05
268,8,poverty,poverti,0.005047318611987382,raw,4.769325630553893,4.283205551034394e-05
160,7,technological,technolog,0.004416403785488959,raw,4.741154753587196,3.854884995930955e-05
25,3,implementation,implement,0.0018927444794952682,raw,4.704787109416322,1.7132822204137576e-05
243,3,tech,tech,0.0018927444794952682,raw,4.704787109416322,1.7132822204137576e-05
186,4,expenditure,expenditur,0.002523659305993691,raw,4.674015450749567,2.355763053068917e-05
45,8,diffusion,diffus,0.005047318611987382,raw,4.587004073759938,5.139846661241273e-05
260,4,switzerland,switzerland,0.002523659305993691,raw,4.587004073759938,2.5699233306206364e-05
50,3,indicators,indic,0.0018927444794952682,raw,4.587004073759938,1.9274424979654775e-05
253,3,sweden,sweden,0.0018927444794952682,raw,4.481643558102111,2.141602775517197e-05
64,3,adoption,adopt,0.0018927444794952682,raw,4.3863333782977865,2.355763053068917e-05
143,8,competitive,competit,0.005047318611987382,raw,4.331070699622737,6.638968604103311e-05
196,6,manufacturing,manufactur,0.0037854889589905363,raw,4.299322001308157,5.139846661241273e-05
24,5,invention,invent,0.0031545741324921135,raw,4.299322001308157,4.283205551034394e-05
155,4,typically,typic,0.002523659305993691,raw,4.299322001308157,3.426564440827515e-05
262,3,korea,korea,0.0018927444794952682,raw,4.299322001308157,2.5699233306206364e-05
242,5,mode,mode,0.0031545741324921135,raw,4.250531837138725,4.4973658285861136e-05
235,7,measuring,measur,0.004416403785488959,raw,4.230329129821206,6.424808326551591e-05
105,3,sector,sector,0.0018927444794952682,raw,4.219279293634621,2.7840836081723563e-05
272,3,ministry,ministri,0.0018927444794952682,raw,4.219279293634621,2.7840836081723563e-05
148,4,businesses,busi,0.002523659305993691,raw,4.127471744381498,4.0690452734826745e-05
197,4,patents,patent,0.002523659305993691,raw,4.127471744381498,4.0690452734826745e-05
46,10,measures,measur,0.006309148264984227,raw,4.096381157311467,0.00010493853600034265
44,8,goals,goal,0.005047318611987382,raw,4.0761784499939475,8.566411102068788e-05
126,3,linked,link,0.0018927444794952682,raw,4.011639928856376,3.426564440827515e-05
