,TF,Term,Stem,wTF,SType,Score,wTFref
0,835,innovation,innov,0.015262850040213497,raw,6.925712394533529,1.4991219428620379e-05
954,470,creativity,creativ,0.00859106529209622,raw,6.099698936105872,1.9274424979654775e-05
50,161,innovations,innov,0.0029428968341010456,raw,5.839300822602559,8.566411102068788e-06
1142,93,inventions,invent,0.001699934196095635,raw,5.290495950771352,8.566411102068788e-06
171,74,global,global,0.0013526358119470645,raw,5.061961550822266,8.566411102068788e-06
98,80,organizational,organiz,0.0014623089858887184,raw,4.916779540977768,1.0708013877585985e-05
329,64,disruptive,disrupt,0.0011698471887109747,raw,4.916779540977768,8.566411102068788e-06
507,57,user,user,0.0010418951524457118,raw,4.800947725452646,8.566411102068788e-06
1135,127,domain,domain,0.00232141551509834,raw,4.791153327860359,1.9274424979654775e-05
1131,72,paradigm,paradigm,0.0013160780872998464,raw,4.629097468525988,1.2849616653103182e-05
292,62,innovative,innov,0.0011332894640637566,stem,4.566577111544653,1.1778815265344584e-05
243,432,technology,technolog,0.007896468523799079,raw,4.451416291288535,9.208891934723948e-05
2417,100,retrieved,retriev,0.0018278862323608978,raw,4.446775911732033,2.141602775517197e-05
3627,29,prototypes,prototyp,0.0005300870073846604,stem,4.412874360056351,6.424808326551591e-06
4188,88,invents,invent,0.00160853988447759,stem,4.380817943940235,2.0131066089861652e-05
512,25,eric,eric,0.00045697155809022445,raw,4.264454354938078,6.424808326551591e-06
2401,33,researchers,research,0.0006032024566790963,raw,4.254404019084577,8.566411102068788e-06
743,24,researcher,research,0.0004386926957666155,raw,4.223632360417823,6.424808326551591e-06
3380,174,empire,empir,0.003180522044307962,raw,4.2122036645942,4.711526106137834e-05
2235,45,digital,digit,0.000822548804562404,raw,4.159093839280252,1.2849616653103182e-05
96,178,diffusion,diffus,0.0032536374936023983,raw,4.1479205386821265,5.139846661241273e-05
1273,22,expertise,expertis,0.0004021349711193975,raw,4.136620983428193,6.424808326551591e-06
2448,29,archived,archiv,0.0005300870073846604,stem,4.125192287604571,8.566411102068788e-06
1153,36,template,templat,0.0006580390436499232,raw,4.118271844759996,1.0708013877585985e-05
4162,36,dynasty,dynasti,0.0006580390436499232,raw,4.118271844759996,1.0708013877585985e-05
883,35,citation,citat,0.0006397601813263143,raw,4.0901009677933,1.0708013877585985e-05
1,41,navigation,navig,0.0007494333552679681,raw,4.066003416214239,1.2849616653103182e-05
586,39,users,user,0.0007128756306207501,raw,4.015992995639579,1.2849616653103182e-05
1050,26,inventors,inventor,0.00047525042041383344,raw,4.015992995639579,8.566411102068788e-06
387,112,technological,technolog,0.0020472325802442055,raw,3.9723179321369164,3.854884995930955e-05
1129,60,forum,forum,0.0010967317394165387,raw,3.935950287966042,2.141602775517197e-05
1116,48,solving,solv,0.000877385391533231,raw,3.935950287966042,1.7132822204137576e-05
2610,78,invented,invent,0.0014257512612415003,raw,3.9359502879660417,2.7840836081723563e-05
124,64,adoption,adopt,0.0011698471887109747,raw,3.905178629299288,2.355763053068917e-05
41,109,invention,invent,0.0019923959932733786,raw,3.8398064274131394,4.283205551034394e-05
1201,16,disruption,disrupt,0.0002924617971777437,raw,3.8181672523096584,6.424808326551591e-06
136,252,creative,creativ,0.004606273305549463,raw,3.7817996081387837,0.00010493853600034265
1226,20,conceptual,conceptu,0.0003655772464721796,raw,3.7536287311720873,8.566411102068788e-06
3329,44,paradox,paradox,0.000804269942238795,raw,3.7311558753200287,1.9274424979654775e-05
3632,39,hypothetical,hypothet,0.0007128756306207501,raw,3.7283109231877973,1.7132822204137576e-05
3682,19,millennium,millennium,0.0003472983841485706,raw,3.7023354367845367,8.566411102068788e-06
1447,23,citations,citat,0.0004204138334430065,stem,3.670247122233036,1.0708013877585985e-05
1173,45,non,non,0.000822548804562404,raw,3.648268215514261,2.141602775517197e-05
3234,21,intrinsic,intrins,0.00038385610879578853,raw,3.5792753440273093,1.0708013877585985e-05
408,25,web,web,0.00045697155809022445,raw,3.571307174378133,1.2849616653103182e-05
1115,199,intelligence,intellig,0.0036374936023981868,raw,3.5662946325545883,0.00010279693322482546
28,125,technologies,technolog,0.0022848577904511225,stem,3.554777872426922,6.531888465327452e-05
619,65,networks,network,0.0011881260510345835,raw,3.545989366393843,3.426564440827515e-05
1716,16,disciplines,disciplin,0.0002924617971777437,raw,3.5304851798578776,8.566411102068788e-06
2693,16,commons,common,0.0002924617971777437,raw,3.5304851798578776,8.566411102068788e-06
2899,16,exploratory,exploratori,0.0002924617971777437,raw,3.5304851798578776,8.566411102068788e-06
3924,16,incubation,incub,0.0002924617971777437,raw,3.5304851798578776,8.566411102068788e-06
406,12,mid,mid,0.00021934634788330776,raw,3.5304851798578776,6.424808326551591e-06
2946,12,perspectives,perspect,0.00021934634788330776,raw,3.5304851798578776,6.424808326551591e-06
3639,12,fossil,fossil,0.00021934634788330776,stem,3.5304851798578776,6.424808326551591e-06
3926,23,divergent,diverg,0.0004204138334430065,raw,3.4879255654390815,1.2849616653103182e-05
1146,19,virtual,virtual,0.0003472983841485706,raw,3.479191885470327,1.0708013877585985e-05
1983,19,obsolete,obsolet,0.0003472983841485706,raw,3.479191885470327,1.0708013877585985e-05
1733,49,media,media,0.00089566425385684,raw,3.4710617593870765,2.7840836081723563e-05
1858,15,evolutionary,evolutionari,0.0002741829348541347,raw,3.4659466587203065,8.566411102068788e-06
220,26,inventor,inventor,0.00047525042041383344,raw,3.4563772077041555,1.4991219428620379e-05
1244,26,participants,particip,0.00047525042041383344,raw,3.4563772077041555,1.4991219428620379e-05
663,48,computer,comput,0.000877385391533231,raw,3.450442472184341,2.7840836081723563e-05
2603,11,prototyping,prototyp,0.00020106748555969876,stem,3.443473802868248,6.424808326551591e-06
1448,14,verification,verif,0.0002559040725305257,raw,3.396953787233355,8.566411102068788e-06
3412,12,welding,weld,0.00021934634788330776,stem,3.376334500030619,7.4956097143101896e-06
1502,20,licensing,licens,0.0003655772464721796,raw,3.348163623063923,1.2849616653103182e-05
604,10,implementing,implement,0.0001827886232360898,raw,3.348163623063923,6.424808326551591e-06
986,10,netherlands,netherland,0.0001827886232360898,raw,3.348163623063923,6.424808326551591e-06
1159,10,interactions,interact,0.0001827886232360898,raw,3.348163623063923,6.424808326551591e-06
2596,10,portal,portal,0.0001827886232360898,raw,3.348163623063923,6.424808326551591e-06
2665,10,trademark,trademark,0.0001827886232360898,raw,3.348163623063923,6.424808326551591e-06
4003,10,frontal,frontal,0.0001827886232360898,raw,3.348163623063923,6.424808326551591e-06
797,50,emerging,emerg,0.0009139431161804489,raw,3.3481636230639227,3.212404163275796e-05
1528,30,rogers,roger,0.0005483658697082694,raw,3.3481636230639227,1.9274424979654775e-05
