,TF,Term,wTF
23,213,open,0.022245430809399478
24,163,source,0.01702349869451697
25,145,hardware,0.015143603133159269
114,139,stem,0.014516971279373368
409,91,vehicle,0.009503916449086162
116,90,science,0.009399477806788513
0,86,maker,0.00898172323759791
458,80,education,0.00835509138381201
28,78,engineering,0.00814621409921671
182,75,reprap,0.007832898172323759
5,66,technology,0.0068929503916449085
408,63,electric,0.006579634464751958
140,48,production,0.0050130548302872065
327,48,project,0.0050130548302872065
349,47,design,0.004908616187989556
405,47,car,0.004908616187989556
410,45,conversion,0.004699738903394256
472,44,used,0.004595300261096605
317,42,manufacturing,0.004386422976501305
675,41,license,0.004281984334203655
32,40,use,0.004177545691906005
858,38,batteries,0.003968668407310705
199,37,fab,0.003864229765013055
1,36,culture,0.003759791122715405
77,36,vehicles,0.003759791122715405
103,36,community,0.003759791122715405
146,36,national,0.003759791122715405
314,36,free,0.003759791122715405
539,36,fields,0.003759791122715405
16,35,software,0.0036553524804177544
117,35,mathematics,0.0036553524804177544
225,35,lab,0.0036553524804177544
124,34,make,0.0035509138381201043
205,34,states,0.0035509138381201043
271,34,program,0.0035509138381201043
31,33,printing,0.0034464751958224542
83,33,movement,0.0034464751958224542
135,33,development,0.0034464751958224542
113,32,students,0.003342036553524804
27,31,include,0.003237597911227154
147,31,research,0.003237597911227154
376,31,craft,0.003237597911227154
35,30,tools,0.003133159268929504
49,30,using,0.003133159268929504
130,30,products,0.003133159268929504
18,29,new,0.003028720626631854
316,29,distributed,0.003028720626631854
1051,29,programs,0.003028720626631854
528,28,high,0.0029242819843342035
29,27,electronics,0.0028198433420365534
58,27,digital,0.0028198433420365534
358,27,projects,0.0028198433420365534
69,26,biology,0.0027154046997389034
204,26,united,0.0027154046997389034
375,26,women,0.0027154046997389034
44,25,designs,0.0026109660574412533
123,25,will,0.0026109660574412533
200,25,labs,0.0026109660574412533
365,25,low,0.0026109660574412533
457,25,sparkfun,0.0026109660574412533
853,25,battery,0.0026109660574412533
6,24,based,0.0025065274151436032
67,24,equipment,0.0025065274151436032
84,24,social,0.0025065274151436032
786,24,university,0.0025065274151436032
703,23,product,0.002402088772845953
1116,23,girls,0.002402088772845953
8,22,diy,0.0022976501305483027
59,21,fabrication,0.0021932114882506526
100,21,including,0.0021932114882506526
183,21,cost,0.0021932114882506526
300,21,even,0.0021932114882506526
322,21,process,0.0021932114882506526
847,21,converted,0.0021932114882506526
64,20,making,0.0020887728459530026
328,20,thingiverse,0.0020887728459530026
492,20,sciences,0.0020887728459530026
33,19,computer,0.0019843342036553525
141,19,power,0.0019843342036553525
326,19,example,0.0019843342036553525
415,19,components,0.0019843342036553525
641,19,licenses,0.0019843342036553525
659,19,foundation,0.0019843342036553525
109,18,information,0.0018798955613577024
216,18,popular,0.0018798955613577024
395,18,circuit,0.0018798955613577024
404,18,kit,0.0018798955613577024
544,18,range,0.0018798955613577024
784,18,pearce,0.0018798955613577024
886,18,weight,0.0018798955613577024
121,17,create,0.0017754569190600521
127,17,world,0.0017754569190600521
202,17,around,0.0017754569190600521
288,17,access,0.0017754569190600521
565,17,machine,0.0017754569190600521
50,16,learning,0.001671018276762402
78,16,media,0.001671018276762402
172,16,term,0.001671018276762402
259,16,work,0.001671018276762402
355,16,parts,0.001671018276762402
356,16,available,0.001671018276762402
401,16,organizations,0.001671018276762402
455,16,printer,0.001671018276762402
877,16,motor,0.001671018276762402
1131,16,school,0.001671018276762402
30,15,robotics,0.001566579634464752
82,15,references,0.001566579634464752
139,15,mass,0.001566579634464752
158,15,made,0.001566579634464752
323,15,economy,0.001566579634464752
394,15,early,0.001566579634464752
419,15,specific,0.001566579634464752
420,15,type,0.001566579634464752
548,15,light,0.001566579634464752
564,15,performance,0.001566579634464752
634,15,system,0.001566579634464752
645,15,definition,0.001566579634464752
13,14,physical,0.0014621409921671017
42,14,technologies,0.0014621409921671017
131,14,produced,0.0014621409921671017
145,14,several,0.0014621409921671017
223,14,within,0.0014621409921671017
242,14,different,0.0014621409921671017
308,14,space,0.0014621409921671017
428,14,models,0.0014621409921671017
449,14,history,0.0014621409921671017
461,14,see,0.0014621409921671017
467,14,training,0.0014621409921671017
511,14,higher,0.0014621409921671017
846,14,registration,0.0014621409921671017
861,14,lead,0.0014621409921671017
912,14,countries,0.0014621409921671017
930,14,increase,0.0014621409921671017
978,14,materials,0.0014621409921671017
12,13,less,0.0013577023498694517
19,13,devices,0.0013577023498694517
54,13,contents,0.0013577023498694517
66,13,scientific,0.0013577023498694517
94,13,self,0.0013577023498694517
136,13,local,0.0013577023498694517
149,13,public,0.0013577023498694517
190,13,small,0.0013577023498694517
265,13,business,0.0013577023498694517
266,13,makers,0.0013577023498694517
281,13,however,0.0013577023498694517
284,13,two,0.0013577023498694517
341,13,printers,0.0013577023498694517
370,13,electronic,0.0013577023498694517
460,13,organization,0.0013577023498694517
471,13,biohacking,0.0013577023498694517
530,13,created,0.0013577023498694517
580,13,field,0.0013577023498694517
688,13,better,0.0013577023498694517
2,12,navigation,0.0012532637075718016
3,12,search,0.0012532637075718016
10,12,needed,0.0012532637075718016
60,12,funding,0.0012532637075718016
115,12,subjects,0.0012532637075718016
118,12,educational,0.0012532637075718016
132,12,communities,0.0012532637075718016
175,12,number,0.0012532637075718016
224,12,rapid,0.0012532637075718016
234,12,set,0.0012532637075718016
237,12,city,0.0012532637075718016
240,12,people,0.0012532637075718016
304,12,support,0.0012532637075718016
359,12,examples,0.0012532637075718016
386,12,form,0.0012532637075718016
463,12,study,0.0012532637075718016
464,12,life,0.0012532637075718016
514,12,developed,0.0012532637075718016
526,12,printed,0.0012532637075718016
538,12,another,0.0012532637075718016
618,12,mechanical,0.0012532637075718016
685,12,department,0.0012532637075718016
742,12,typically,0.0012532637075718016
758,12,result,0.0012532637075718016
827,12,bicycle,0.0012532637075718016
832,12,sports,0.0012532637075718016
21,11,general,0.0011488250652741513
34,11,control,0.0011488250652741513
91,11,peer,0.0011488250652741513
185,11,innovation,0.0011488250652741513
247,11,known,0.0011488250652741513
269,11,arduino,0.0011488250652741513
292,11,others,0.0011488250652741513
307,11,members,0.0011488250652741513
347,11,machines,0.0011488250652741513
380,11,laboratory,0.0011488250652741513
493,11,california,0.0011488250652741513
504,11,place,0.0011488250652741513
522,11,non,0.0011488250652741513
605,11,due,0.0011488250652741513
613,11,designed,0.0011488250652741513
839,11,racer,0.0011488250652741513
871,11,energy,0.0011488250652741513
17,10,creation,0.0010443864229765013
52,10,skills,0.0010443864229765013
105,10,knowledge,0.0010443864229765013
177,10,build,0.0010443864229765013
178,10,rather,0.0010443864229765013
214,10,areas,0.0010443864229765013
227,10,center,0.0010443864229765013
398,10,years,0.0010443864229765013
412,10,conversions,0.0010443864229765013
443,10,model,0.0010443864229765013
459,10,diybio,0.0010443864229765013
475,10,related,0.0010443864229765013
507,10,advanced,0.0010443864229765013
516,10,run,0.0010443864229765013
581,10,released,0.0010443864229765013
664,10,companies,0.0010443864229765013
683,10,cern,0.0010443864229765013
687,10,users,0.0010443864229765013
690,10,current,0.0010443864229765013
717,10,construction,0.0010443864229765013
731,10,cars,0.0010443864229765013
781,10,sources,0.0010443864229765013
816,10,international,0.0010443864229765013
862,10,acid,0.0010443864229765013
1023,10,schools,0.0010443864229765013
1157,10,glossary,0.0010443864229765013
20,9,existing,0.0009399477806788512
56,9,cloud,0.0009399477806788512
61,9,platforms,0.0009399477806788512
98,9,ways,0.0009399477806788512
120,9,potential,0.0009399477806788512
150,9,addition,0.0009399477806788512
160,9,scale,0.0009399477806788512
174,9,industry,0.0009399477806788512
192,9,market,0.0009399477806788512
206,9,allow,0.0009399477806788512
209,9,found,0.0009399477806788512
218,9,common,0.0009399477806788512
220,9,started,0.0009399477806788512
226,9,nasa,0.0009399477806788512
238,9,state,0.0009399477806788512
260,9,means,0.0009399477806788512
294,9,improve,0.0009399477806788512
299,9,original,0.0009399477806788512
302,9,commercial,0.0009399477806788512
335,9,lower,0.0009399477806788512
342,9,includes,0.0009399477806788512
351,9,expensive,0.0009399477806788512
373,9,boards,0.0009399477806788512
421,9,since,0.0009399477806788512
445,9,announced,0.0009399477806788512
486,9,article,0.0009399477806788512
512,9,costs,0.0009399477806788512
535,9,need,0.0009399477806788512
553,9,creating,0.0009399477806788512
589,9,efforts,0.0009399477806788512
603,9,way,0.0009399477806788512
624,9,code,0.0009399477806788512
638,9,called,0.0009399477806788512
646,9,initiative,0.0009399477806788512
671,9,manufacture,0.0009399477806788512
724,9,hobbyists,0.0009399477806788512
755,9,commons,0.0009399477806788512
793,9,still,0.0009399477806788512
801,9,list,0.0009399477806788512
826,9,solar,0.0009399477806788512
831,9,size,0.0009399477806788512
841,9,speed,0.0009399477806788512
844,9,road,0.0009399477806788512
879,9,student,0.0009399477806788512
881,9,short,0.0009399477806788512
882,9,offer,0.0009399477806788512
911,9,without,0.0009399477806788512
994,9,economies,0.0009399477806788512
1012,9,curriculum,0.0009399477806788512
1097,9,immigration,0.0009399477806788512
1128,9,graduates,0.0009399477806788512
1156,9,boys,0.0009399477806788512
48,8,focus,0.000835509138381201
63,8,types,0.000835509138381201
75,8,instruments,0.000835509138381201
96,8,applications,0.000835509138381201
134,8,sustainable,0.000835509138381201
153,8,america,0.000835509138381201
171,8,faire,0.000835509138381201
173,8,full,0.000835509138381201
189,8,prototyping,0.000835509138381201
207,8,individuals,0.000835509138381201
212,8,mit,0.000835509138381201
221,8,concept,0.000835509138381201
230,8,three,0.000835509138381201
235,8,team,0.000835509138381201
256,8,future,0.000835509138381201
258,8,online,0.000835509138381201
283,8,individual,0.000835509138381201
287,8,ability,0.000835509138381201
313,8,large,0.000835509138381201
319,8,files,0.000835509138381201
339,8,various,0.000835509138381201
345,8,milling,0.000835509138381201
354,8,start,0.000835509138381201
362,8,suitable,0.000835509138381201
366,8,scientists,0.000835509138381201
454,8,society,0.000835509138381201
470,8,terms,0.000835509138381201
473,8,body,0.000835509138381201
482,8,criticism,0.000835509138381201
483,8,concerns,0.000835509138381201
508,8,degree,0.000835509138381201
525,8,uses,0.000835509138381201
531,8,platform,0.000835509138381201
583,8,american,0.000835509138381201
607,8,policy,0.000835509138381201
673,8,tapr,0.000835509138381201
686,8,quality,0.000835509138381201
701,8,trademark,0.000835509138381201
704,8,intended,0.000835509138381201
721,8,network,0.000835509138381201
744,8,built,0.000835509138381201
750,8,appropriate,0.000835509138381201
770,8,differences,0.000835509138381201
783,8,joshua,0.000835509138381201
889,8,require,0.000835509138381201
927,8,particularly,0.000835509138381201
1003,8,nsf,0.000835509138381201
1032,8,bowyer,0.000835509138381201
1035,8,print,0.000835509138381201
1059,8,applied,0.000835509138381201
1105,8,jobs,0.000835509138381201
1108,8,scouts,0.000835509138381201
1139,8,gender,0.000835509138381201
9,7,citation,0.0007310704960835509
26,7,typical,0.0007310704960835509
36,7,traditional,0.0007310704960835509
40,7,approach,0.0007310704960835509
45,7,published,0.0007310704960835509
47,7,strong,0.0007310704960835509
51,7,practical,0.0007310704960835509
55,7,makerspaces,0.0007310704960835509
62,7,hand,0.0007310704960835509
99,7,working,0.0007310704960835509
101,7,metal,0.0007310704960835509
106,7,sharing,0.0007310704960835509
111,7,focused,0.0007310704960835509
112,7,interest,0.0007310704960835509
129,7,cities,0.0007310704960835509
142,7,rise,0.0007310704960835509
151,7,federal,0.0007310704960835509
155,7,methods,0.0007310704960835509
159,7,personal,0.0007310704960835509
161,7,accessible,0.0007310704960835509
162,7,following,0.0007310704960835509
165,7,computers,0.0007310704960835509
186,7,become,0.0007310704960835509
201,7,now,0.0007310704960835509
243,7,groups,0.0007310704960835509
253,7,environmental,0.0007310704960835509
255,7,institute,0.0007310704960835509
267,7,learn,0.0007310704960835509
270,7,easy,0.0007310704960835509
301,7,find,0.0007310704960835509
333,7,black,0.0007310704960835509
357,7,company,0.0007310704960835509
364,7,major,0.0007310704960835509
383,7,plastic,0.0007310704960835509
434,7,held,0.0007310704960835509
442,7,encourage,0.0007310704960835509
481,7,art,0.0007310704960835509
491,7,year,0.0007310704960835509
494,7,founded,0.0007310704960835509
505,7,must,0.0007310704960835509
533,7,safety,0.0007310704960835509
541,7,engineers,0.0007310704960835509
542,7,biohackers,0.0007310704960835509
550,7,medical,0.0007310704960835509
555,7,change,0.0007310704960835509
562,7,order,0.0007310704960835509
585,7,board,0.0007310704960835509
622,7,data,0.0007310704960835509
649,7,goal,0.0007310704960835509
651,7,manufacturers,0.0007310704960835509
667,7,website,0.0007310704960835509
689,7,address,0.0007310704960835509
763,7,closed,0.0007310704960835509
768,7,participation,0.0007310704960835509
771,7,results,0.0007310704960835509
823,7,engine,0.0007310704960835509
825,7,hybrid,0.0007310704960835509
834,7,trucks,0.0007310704960835509
838,7,autocross,0.0007310704960835509
843,7,line,0.0007310704960835509
854,7,charge,0.0007310704960835509
870,7,evs,0.0007310704960835509
901,7,able,0.0007310704960835509
903,7,cells,0.0007310704960835509
944,7,racing,0.0007310704960835509
976,7,site,0.0007310704960835509
982,7,dmv,0.0007310704960835509
990,7,office,0.0007310704960835509
996,7,academy,0.0007310704960835509
1001,7,level,0.0007310704960835509
1040,7,part,0.0007310704960835509
1043,7,conductive,0.0007310704960835509
1068,7,anzalone,0.0007310704960835509
1094,7,disciplines,0.0007310704960835509
1099,7,teachers,0.0007310704960835509
1107,7,canada,0.0007310704960835509
4,6,subculture,0.0006266318537859008
11,6,hacker,0.0006266318537859008
14,6,objects,0.0006266318537859008
37,6,activities,0.0006266318537859008
65,6,amateur,0.0006266318537859008
89,6,environment,0.0006266318537859008
93,6,shared,0.0006266318537859008
126,6,sense,0.0006266318537859008
137,6,point,0.0006266318537859008
152,6,government,0.0006266318537859008
156,6,previously,0.0006266318537859008
163,6,economic,0.0006266318537859008
164,6,similar,0.0006266318537859008
194,6,makerspace,0.0006266318537859008
198,6,hackerspaces,0.0006266318537859008
211,6,technical,0.0006266318537859008
231,6,times,0.0006266318537859008
232,6,exist,0.0006266318537859008
276,6,zero,0.0006266318537859008
290,6,stage,0.0006266318537859008
303,6,impact,0.0006266318537859008
312,6,although,0.0006266318537859008
321,6,via,0.0006266318537859008
329,6,version,0.0006266318537859008
344,6,laser,0.0006266318537859008
360,6,key,0.0006266318537859008
369,6,degrees,0.0006266318537859008
384,6,done,0.0006266318537859008
393,6,experiments,0.0006266318537859008
399,6,series,0.0006266318537859008
400,6,building,0.0006266318537859008
403,6,custom,0.0006266318537859008
406,6,component,0.0006266318537859008
414,6,bike,0.0006266318537859008
416,6,bikes,0.0006266318537859008
