,TF,Term,Stem,wTF,SType,Score,wTFref
20,176,hardware,hardwar,0.008867838968106011,raw,5.930736629786951,2.355763053068917e-05
1129,45,specification,specif,0.002267345190708923,raw,5.86619810864938,6.424808326551591e-06
261,58,modular,modular,0.00292235602358039,raw,5.832296556973699,8.566411102068788e-06
275,35,commons,common,0.001763490703884718,raw,5.327201607916693,8.566411102068788e-06
54,45,users,user,0.002267345190708923,raw,5.173050928089435,1.2849616653103182e-05
869,28,global,global,0.0014107925631077745,raw,5.104058056602484,8.566411102068788e-06
1148,46,royalty,royalti,0.0023177306393913437,raw,5.040879154980952,1.4991219428620379e-05
467,25,user,user,0.001259636217060513,raw,4.99072937129548,8.566411102068788e-06
935,37,licenses,licens,0.0018642616012495591,raw,4.97730635096334,1.2849616653103182e-05
485,36,web,web,0.0018138761525671387,raw,4.949907376775225,1.2849616653103182e-05
286,47,peer,peer,0.0023681160880737644,raw,4.928853967577393,1.7132822204137576e-05
255,34,digital,digit,0.0017131052552022976,raw,4.8927489629352765,1.2849616653103182e-05
86,22,bruce,bruce,0.0011084798710132514,raw,4.862895999785596,8.566411102068788e-06
898,22,implement,implement,0.0011084798710132514,raw,4.862895999785596,8.566411102068788e-06
1281,27,implementations,implement,0.0013604071144253539,stem,4.844546861117399,1.0708013877585985e-05
14,498,source,sourc,0.02509195344384542,raw,4.825453202301819,0.00020131066089861652
176,37,innovation,innov,0.0018642616012495591,raw,4.823155671136081,1.4991219428620379e-05
257,58,architecture,architectur,0.00292235602358039,raw,4.820695645295219,2.355763053068917e-05
217,67,computer,comput,0.0033758250617221745,raw,4.797891169476599,2.7840836081723563e-05
948,20,modules,modul,0.0010077089736484103,stem,4.767585819981271,8.566411102068788e-06
916,28,licensing,licens,0.0014107925631077745,raw,4.698592948494319,1.2849616653103182e-05
1008,28,graphics,graphic,0.0014107925631077745,stem,4.698592948494319,1.2849616653103182e-05
1337,14,protocol,protocol,0.0007053962815538873,raw,4.698592948494319,6.424808326551591e-06
1374,14,certification,certif,0.0007053962815538873,raw,4.698592948494319,6.424808326551591e-06
89,171,definition,definit,0.008615911724693908,raw,4.662225304323444,8.138090546965349e-05
106,45,non,non,0.002267345190708923,raw,4.662225304323444,2.141602775517197e-05
701,22,accessible,access,0.0011084798710132514,raw,4.639752448471386,1.0708013877585985e-05
382,35,implementation,implement,0.001763490703884718,raw,4.634054427356748,1.7132822204137576e-05
455,13,interface,interfac,0.0006550108328714667,raw,4.624484976340597,6.424808326551591e-06
1067,13,trademark,trademark,0.0006550108328714667,raw,4.624484976340597,6.424808326551591e-06
1307,13,documentation,document,0.0006550108328714667,raw,4.624484976340597,6.424808326551591e-06
975,21,programming,program,0.0010580944223308308,raw,4.593232432836492,1.0708013877585985e-05
1125,24,definitions,definit,0.0012092507683780923,raw,4.54444226866706,1.2849616653103182e-05
79,12,eric,eric,0.0006046253841890462,raw,4.54444226866706,6.424808326551591e-06
224,12,lab,lab,0.0006046253841890462,raw,4.54444226866706,6.424808326551591e-06
1152,12,discriminatory,discriminatori,0.0006046253841890462,raw,4.54444226866706,6.424808326551591e-06
558,19,computers,comput,0.0009573235249659898,raw,4.49314897427951,1.0708013877585985e-05
390,17,platforms,platform,0.0008565526276011488,raw,4.381923339169286,1.0708013877585985e-05
36,10,foss,foss,0.0005038544868242052,raw,4.362120711873106,6.424808326551591e-06
283,10,portal,portal,0.0005038544868242052,raw,4.362120711873106,6.424808326551591e-06
388,245,standards,standard,0.012344434927193027,raw,4.355341024887728,0.0001584786053882726
188,27,collaborative,collabor,0.0013604071144253539,stem,4.333721237351408,1.7846689795976643e-05
1147,29,specifications,specif,0.001461178011790195,raw,4.328219160197425,1.9274424979654775e-05
1104,15,defines,defin,0.0007557817302363078,raw,4.2567601962152795,1.0708013877585985e-05
7,9,printer,printer,0.00045346903814178467,raw,4.2567601962152795,6.424808326551591e-06
796,9,expertise,expertis,0.00045346903814178467,raw,4.2567601962152795,6.424808326551591e-06
1216,9,protocols,protocol,0.00045346903814178467,stem,4.2567601962152795,6.424808326551591e-06
0,938,open,open,0.04726155086411044,raw,4.239846473773218,0.0006810296826144686
1338,26,format,format,0.0013100216657429334,raw,4.219019868232433,1.9274424979654775e-05
1135,20,consensus,consensu,0.0010077089736484103,raw,4.207970032045848,1.4991219428620379e-05
279,101,license,licens,0.005088930316924472,raw,4.189749485932319,7.70976999186191e-05
483,11,promotes,promot,0.0005542399355066257,raw,4.16974881922565,8.566411102068788e-06
707,11,apache,apach,0.0005542399355066257,stem,4.16974881922565,8.566411102068788e-06
2,16,navigation,navig,0.0008061671789187282,raw,4.1389771605588965,1.2849616653103182e-05
1130,16,drafting,draft,0.0008061671789187282,raw,4.1389771605588965,1.2849616653103182e-05
19,8,labs,lab,0.0004030835894593641,stem,4.1389771605588965,6.424808326551591e-06
1141,8,zealand,zealand,0.0004030835894593641,raw,4.1389771605588965,6.424808326551591e-06
270,13,virtual,virtual,0.0006550108328714667,raw,4.113659352574606,1.0708013877585985e-05
290,269,standard,standard,0.01355368569557112,raw,4.052378921356593,0.00023557630530689168
273,14,licensed,licens,0.0007053962815538873,raw,4.005445767934374,1.2849616653103182e-05
480,7,prototyping,prototyp,0.0003526981407769436,stem,4.005445767934374,6.424808326551591e-06
836,7,mid,mid,0.0003526981407769436,raw,4.005445767934374,6.424808326551591e-06
1630,7,programmers,programm,0.0003526981407769436,stem,4.005445767934374,6.424808326551591e-06
121,96,technology,technolog,0.004837003073512369,raw,3.9612959833214436,9.208891934723948e-05
47,11,implemented,implement,0.0005542399355066257,stem,3.94660526791144,1.0708013877585985e-05
453,26,collaboration,collabor,0.0013100216657429334,raw,3.9313377957806517,2.5699233306206364e-05
599,57,customer,custom,0.0028719705748979697,raw,3.905362309377391,5.782327493896432e-05
1312,27,document,document,0.0013604071144253539,raw,3.8890354160899623,2.7840836081723563e-05
1173,14,ibm,ibm,0.0007053962815538873,raw,3.8512950881071153,1.4991219428620379e-05
1332,12,documented,document,0.0006046253841890462,raw,3.8512950881071153,1.2849616653103182e-05
1397,6,unrestricted,unrestrict,0.0003023126920945231,raw,3.8512950881071153,6.424808326551591e-06
1576,6,prototype,prototyp,0.0003023126920945231,raw,3.8512950881071153,6.424808326551591e-06
1626,6,kernel,kernel,0.0003023126920945231,raw,3.8512950881071153,6.424808326551591e-06
68,47,manufacturing,manufactur,0.0023681160880737644,raw,3.830241678909283,5.139846661241273e-05
154,21,framework,framework,0.0010580944223308308,raw,3.8047750724722222,2.355763053068917e-05
1,217,design,design,0.010933642364085252,raw,3.801846812693134,0.00024414271640896046
292,11,paradigm,paradigm,0.0005542399355066257,raw,3.7642837111174856,1.2849616653103182e-05
1248,20,adoption,adopt,0.0010077089736484103,raw,3.7559849083027905,2.355763053068917e-05
967,9,interfaces,interfac,0.00045346903814178467,raw,3.745934572449289,1.0708013877585985e-05
750,7,challenges,challeng,0.0003526981407769436,raw,3.717763695482593,8.566411102068788e-06
964,7,modularity,modular,0.0003526981407769436,stem,3.717763695482593,8.566411102068788e-06
492,12,participants,particip,0.0006046253841890462,raw,3.697144408279857,1.4991219428620379e-05
1217,32,patents,patent,0.0016123343578374565,raw,3.679444831180456,4.0690452734826745e-05
678,10,contributors,contributor,0.0005038544868242052,raw,3.668973531313161,1.2849616653103182e-05
1317,10,distribute,distribut,0.0005038544868242052,raw,3.668973531313161,1.2849616653103182e-05
126,5,coined,coin,0.0002519272434121026,raw,3.668973531313161,6.424808326551591e-06
727,5,saturn,saturn,0.0002519272434121026,raw,3.668973531313161,6.424808326551591e-06
950,5,cores,core,0.0002519272434121026,raw,3.668973531313161,6.424808326551591e-06
1044,5,deployment,deploy,0.0002519272434121026,stem,3.668973531313161,6.424808326551591e-06
1299,5,publish,publish,0.0002519272434121026,raw,3.668973531313161,6.424808326551591e-06
1565,5,printers,printer,0.0002519272434121026,stem,3.668973531313161,6.424808326551591e-06
1616,5,socioeconomic,socioeconom,0.0002519272434121026,raw,3.668973531313161,6.424808326551591e-06
50,76,creation,creation,0.003829294099863959,raw,3.660239851344406,9.851372767379107e-05
1030,18,criteria,criteria,0.0009069380762835693,raw,3.650624392644964,2.355763053068917e-05
35,332,software,softwar,0.01672796896256361,noref,3.639981218903043,
171,23,sustainable,sustain,0.0011588653196956719,stem,3.619493474049791,3.105324024499936e-05
497,14,designing,design,0.0007053962815538873,raw,3.599980659826209,1.9274424979654775e-05
1186,27,formats,format,0.0013604071144253539,stem,3.5823051486674866,3.783498236747048e-05
214,36,access,access,0.0018138761525671387,raw,3.5636130156553345,5.139846661241273e-05
1380,12,extensions,extens,0.0006046253841890462,raw,3.5636130156553345,1.7132822204137576e-05
308,6,inclusive,inclus,0.0003023126920945231,raw,3.5636130156553345,8.566411102068788e-06
476,6,collectively,collect,0.0003023126920945231,raw,3.5636130156553345,8.566411102068788e-06
657,6,submissions,submiss,0.0003023126920945231,stem,3.5636130156553345,8.566411102068788e-06
1583,6,joshua,joshua,0.0003023126920945231,raw,3.5636130156553345,8.566411102068788e-06
1631,16,aided,aid,0.0008061671789187282,raw,3.532841356988581,2.355763053068917e-05
180,8,innovative,innov,0.0004030835894593641,stem,3.532841356988581,1.1778815265344584e-05
258,42,network,network,0.0021161888446616615,raw,3.494620144168383,6.424808326551591e-05
1646,8,packages,packag,0.0004030835894593641,raw,3.445829979998951,1.2849616653103182e-05
350,4,methodology,methodolog,0.00020154179472968206,stem,3.445829979998951,6.424808326551591e-06
447,4,emergence,emerg,0.00020154179472968206,raw,3.445829979998951,6.424808326551591e-06
638,4,implementing,implement,0.00020154179472968206,raw,3.445829979998951,6.424808326551591e-06
1021,4,ptc,ptc,0.00020154179472968206,raw,3.445829979998951,6.424808326551591e-06
1355,4,decree,decre,0.00020154179472968206,raw,3.445829979998951,6.424808326551591e-06
1391,4,flaws,flaw,0.00020154179472968206,stem,3.445829979998951,6.424808326551591e-06
1495,4,patented,patent,0.00020154179472968206,raw,3.445829979998951,6.424808326551591e-06
1548,4,freedoms,freedom,0.00020154179472968206,raw,3.445829979998951,6.424808326551591e-06
1667,4,prototypes,prototyp,0.00020154179472968206,stem,3.445829979998951,6.424808326551591e-06
1716,4,gateway,gateway,0.00020154179472968206,raw,3.445829979998951,6.424808326551591e-06
1638,12,geometry,geometri,0.0006046253841890462,raw,3.4458299799989507,1.9274424979654775e-05
