,TF,Term,wTF
39,818,sustainable,0.010487313939922306
146,640,energy,0.00820523340042821
92,538,environmental,0.006897524327234964
27,522,development,0.006692393492224259
0,501,sustainability,0.006423159271272709
14,433,world,0.005551353222477211
213,420,water,0.005384684419031013
182,397,population,0.005089808843703124
939,393,carbon,0.005038526134950448
1237,368,emissions,0.0047180092052462215
9,355,human,0.004551340401800023
631,339,countries,0.004346209566789318
172,322,use,0.004128258054590443
46,313,social,0.004012871959896922
214,298,food,0.0038205618020743857
45,280,economic,0.003589789612687342
711,273,technology,0.0035000448723701586
20,257,change,0.003294914037359453
206,256,global,0.003282093360171284
147,247,power,0.0031667072654777625
22,236,resources,0.0030256798164079025
499,236,solar,0.0030256798164079025
44,235,environment,0.0030128591392197335
145,233,renewable,0.0029872177848433955
251,232,united,0.0029743971076552265
4,222,will,0.0028461903357735355
143,218,new,0.0027949076270208594
243,215,used,0.002756445595456352
510,211,people,0.002705162886703676
149,207,systems,0.0026538801779509994
183,207,growth,0.0026538801779509994
110,203,natural,0.002602597469198323
76,197,system,0.0025256734060693084
218,192,waste,0.0024615700201284633
121,186,local,0.0023846459569994488
180,183,climate,0.0023461839254349413
231,180,tourism,0.0023077218938704343
373,179,species,0.0022949012166822652
658,176,design,0.0022564391851177578
1023,174,states,0.0022307978307414197
993,163,production,0.0020897703816715597
115,159,international,0.0020384876729188837
6,154,earth,0.001974384286978038
93,154,management,0.001974384286978038
307,152,resource,0.0019487429326017001
434,151,example,0.001935922255413531
252,149,nations,0.0019102809010371929
73,147,however,0.0018846395466608546
686,146,per,0.0018718188694726856
1410,143,market,0.0018333568379081783
1465,143,trading,0.0018333568379081783
701,141,developed,0.00180771548353184
763,140,cost,0.001794894806343671
327,139,forest,0.001782074129155502
991,138,reduce,0.0017692534519673328
202,137,consumption,0.0017564327747791638
713,137,based,0.0017564327747791638
215,136,materials,0.0017436120975909948
133,135,cities,0.0017307914204028256
739,133,pollution,0.0017051500660264876
744,130,trade,0.0016666880344619803
63,129,ecological,0.0016538673572738113
817,128,million,0.001641046680085642
426,127,government,0.001628226002897473
637,126,needed,0.001615405325709304
258,123,society,0.0015769432941447968
795,123,billion,0.0015769432941447968
1100,122,areas,0.0015641226169566278
833,121,footprint,0.0015513019397684585
584,120,electricity,0.0015384812625802895
1795,120,appropriate,0.0015384812625802895
1240,119,high,0.0015256605853921205
10,118,life,0.0015128399082039513
1904,118,evolution,0.0015128399082039513
928,116,level,0.0014871985538276132
1896,116,extinction,0.0014871985538276132
116,115,national,0.001474377876639444
799,115,developing,0.001474377876639444
1294,114,public,0.001461557199451275
1629,114,theory,0.001461557199451275
141,112,using,0.001435915845074937
386,112,city,0.001435915845074937
1260,112,wind,0.001435915845074937
126,111,living,0.0014230951678867677
283,111,years,0.0014230951678867677
309,110,two,0.0014102744906985987
965,110,health,0.0014102744906985987
60,109,term,0.0013974538135104297
99,109,science,0.0013974538135104297
220,109,nature,0.0013974538135104297
341,109,within,0.0013974538135104297
71,108,time,0.0013846331363222605
97,108,green,0.0013846331363222605
87,107,impact,0.0013718124591340915
118,107,urban,0.0013718124591340915
394,107,including,0.0013718124591340915
32,106,future,0.0013589917819459224
798,106,increase,0.0013589917819459224
590,105,large,0.0013461711047577532
292,103,include,0.0013205297503814152
1143,102,low,0.0013077090731932462
736,101,emission,0.001294888396005077
35,100,needs,0.001282067718816908
436,100,policy,0.001282067718816908
95,99,information,0.001269247041628739
790,99,according,0.001269247041628739
881,99,less,0.001269247041628739
208,98,goals,0.0012564263644405697
212,98,land,0.0012564263644405697
424,98,community,0.0012564263644405697
797,98,year,0.0012564263644405697
852,98,state,0.0012564263644405697
137,97,agriculture,0.0012436056872524007
257,97,economy,0.0012436056872524007
174,96,societies,0.0012307850100642316
205,96,capacity,0.0012307850100642316
404,96,agenda,0.0012307850100642316
49,95,cultural,0.0012179643328760624
157,95,goal,0.0012179643328760624
804,95,number,0.0012179643328760624
609,94,increasing,0.0012051436556878934
163,93,approach,0.0011923229784997244
884,93,efficiency,0.0011923229784997244
1218,93,products,0.0011923229784997244
586,92,sanitation,0.0011795023013115554
144,91,technologies,0.0011666816241233861
53,90,without,0.0011538609469352171
619,90,different,0.0011538609469352171
566,89,communities,0.0011410402697470481
675,89,small,0.0011410402697470481
57,88,report,0.0011282195925588789
250,88,concept,0.0011282195925588789
608,88,non,0.0011282195925588789
1937,88,citation,0.0011282195925588789
280,87,standards,0.0011153989153707099
374,87,now,0.0011153989153707099
1421,87,issues,0.0011153989153707099
102,86,economics,0.0011025782381825409
1078,86,air,0.0011025782381825409
188,85,three,0.0010897575609943716
482,85,much,0.0010897575609943716
630,85,total,0.0010897575609943716
120,84,transport,0.0010769368838062026
242,84,since,0.0010769368838062026
340,84,quality,0.0010769368838062026
1187,84,business,0.0010769368838062026
200,83,scale,0.0010641162066180336
273,83,long,0.0010641162066180336
1562,83,price,0.0010641162066180336
106,82,research,0.0010512955294298646
241,82,support,0.0010512955294298646
122,81,individual,0.0010384748522416954
1122,81,amount,0.0010384748522416954
64,80,process,0.0010256541750535263
226,80,poverty,0.0010256541750535263
385,80,area,0.0010256541750535263
573,80,industrial,0.0010256541750535263
136,79,building,0.0010128334978653573
612,79,greenhouse,0.0010128334978653573
728,79,cradle,0.0010128334978653573
967,79,education,0.0010128334978653573
1229,79,source,0.0010128334978653573
197,78,history,0.001000012820677188
428,78,levels,0.001000012820677188
840,78,sources,0.001000012820677188
1254,78,gas,0.001000012820677188
138,77,work,0.000987192143489019
285,77,industry,0.000987192143489019
478,77,way,0.000987192143489019
485,77,services,0.000987192143489019
680,77,major,0.000987192143489019
1156,77,made,0.000987192143489019
333,76,another,0.0009743714663008501
474,76,need,0.0009743714663008501
585,76,modern,0.0009743714663008501
1118,76,supply,0.0009743714663008501
50,75,political,0.0009615507891126809
67,75,common,0.0009615507891126809
139,75,practices,0.0009615507891126809
347,75,progress,0.0009615507891126809
31,74,current,0.0009487301119245118
356,74,culture,0.0009487301119245118
443,74,make,0.0009487301119245118
580,74,efficient,0.0009487301119245118
1211,74,fuel,0.0009487301119245118
3095,74,heat,0.0009487301119245118
1888,73,list,0.0009359094347363428
2220,73,university,0.0009359094347363428
100,72,conservation,0.0009230887575481737
855,72,provide,0.0009230887575481737
1116,72,due,0.0009230887575481737
1548,72,even,0.0009230887575481737
170,71,increased,0.0009102680803600047
734,71,reduction,0.0009102680803600047
405,70,organizations,0.0008974474031718355
514,70,projects,0.0008974474031718355
1086,70,produce,0.0008974474031718355
1132,70,available,0.0008974474031718355
1460,70,several,0.0008974474031718355
3636,70,cap,0.0008974474031718355
1077,69,effects,0.0008846267259836664
198,68,principles,0.0008718060487954974
598,68,material,0.0008718060487954974
779,68,known,0.0008718060487954974
822,68,around,0.0008718060487954974
1576,68,permits,0.0008718060487954974
602,67,problems,0.0008589853716073283
916,67,thus,0.0008589853716073283
249,66,part,0.0008461646944191593
320,66,study,0.0008461646944191593
398,66,model,0.0008461646944191593
461,66,transportation,0.0008461646944191593
606,66,become,0.0008461646944191593
785,66,rate,0.0008461646944191593
3324,66,geothermal,0.0008461646944191593
364,65,responsible,0.0008333440172309901
577,65,fossil,0.0008333440172309901
774,65,organic,0.0008333440172309901
805,65,children,0.0008333440172309901
827,65,china,0.0008333440172309901
1224,65,plants,0.0008333440172309901
1673,65,resistance,0.0008333440172309901
594,64,century,0.000820523340042821
597,64,costs,0.000820523340042821
622,64,called,0.000820523340042821
959,64,main,0.000820523340042821
979,64,access,0.000820523340042821
1210,64,related,0.000820523340042821
85,63,reducing,0.000807702662854652
158,63,ecosystem,0.000807702662854652
444,63,europe,0.000807702662854652
596,63,movement,0.000807702662854652
922,63,impacts,0.000807702662854652
1040,63,country,0.000807702662854652
1232,63,least,0.000807702662854652
463,62,must,0.0007948819856664829
1111,62,found,0.0007948819856664829
1129,62,clean,0.0007948819856664829
103,61,studies,0.0007820613084783139
130,61,conditions,0.0007820613084783139
207,61,biodiversity,0.0007820613084783139
281,61,certification,0.0007820613084783139
413,61,ecology,0.0007820613084783139
322,60,important,0.0007692406312901448
345,60,action,0.0007692406312901448
564,60,plant,0.0007692406312901448
1688,60,problem,0.0007692406312901448
388,59,method,0.0007564199541019756
649,59,see,0.0007564199541019756
909,59,methods,0.0007564199541019756
578,58,fuels,0.0007435992769138066
973,58,women,0.0007435992769138066
1163,58,free,0.0007435992769138066
1236,58,result,0.0007435992769138066
350,57,set,0.0007307785997256375
379,57,targets,0.0007307785997256375
384,57,greater,0.0007307785997256375
1870,57,program,0.0007307785997256375
410,56,rather,0.0007179579225374685
533,56,created,0.0007179579225374685
890,56,american,0.0007179579225374685
905,56,possible,0.0007179579225374685
48,55,considered,0.0007051372453492994
112,55,towards,0.0007051372453492994
1152,55,capital,0.0007051372453492994
1201,55,product,0.0007051372453492994
1352,55,growing,0.0007051372453492994
1448,55,better,0.0007051372453492994
1686,55,project,0.0007051372453492994
82,54,humans,0.0006923165681611302
175,54,achieve,0.0006923165681611302
643,54,biological,0.0006923165681611302
830,54,general,0.0006923165681611302
1263,54,times,0.0006923165681611302
282,53,recent,0.0006794958909729612
490,53,order,0.0006794958909729612
717,53,among,0.0006794958909729612
1326,53,oil,0.0006794958909729612
165,52,processes,0.0006666752137847921
167,52,end,0.0006666752137847921
245,52,planet,0.0006666752137847921
914,52,form,0.0006666752137847921
1026,52,help,0.0006666752137847921
1630,52,capitalism,0.0006666752137847921
2690,52,extinct,0.0006666752137847921
449,51,worldwide,0.0006538545365966231
599,51,benefits,0.0006538545365966231
613,51,effect,0.0006538545365966231
858,51,required,0.0006538545365966231
1219,51,cause,0.0006538545365966231
1586,51,dioxide,0.0006538545365966231
1666,51,governments,0.0006538545365966231
2432,51,percent,0.0006538545365966231
52,50,present,0.000641033859408454
435,50,european,0.000641033859408454
447,50,open,0.000641033859408454
462,50,solutions,0.000641033859408454
469,50,still,0.000641033859408454
488,50,promote,0.000641033859408454
502,50,biomass,0.000641033859408454
828,50,india,0.000641033859408454
836,50,scientific,0.000641033859408454
1693,50,create,0.000641033859408454
2114,50,control,0.000641033859408454
2359,50,largest,0.000641033859408454
34,49,meet,0.0006282131822202848
683,49,especially,0.0006282131822202848
816,49,average,0.0006282131822202848
874,49,standard,0.0006282131822202848
1012,49,means,0.0006282131822202848
1054,49,generation,0.0006282131822202848
1072,49,aspects,0.0006282131822202848
