,TF,Term,wTF
262,805,social,0.012319794312999297
1280,646,capital,0.009886443635028006
204,433,status,0.006626671972085336
285,431,human,0.006596063787456766
66,336,people,0.005142175017599706
26,319,work,0.004882005448256864
398,312,economic,0.00477487680205687
288,258,power,0.003948455817085489
1057,250,class,0.00382602307857121
11,246,high,0.0037648067093140705
1131,243,income,0.003718894432371216
0,231,need,0.003535245324599798
282,230,society,0.0035199412322855133
4,229,individual,0.0035046371399712283
243,229,individuals,0.0035046371399712283
1418,223,labour,0.0034128125860855194
314,222,time,0.0033975084937712344
399,207,development,0.0031679471090569618
1815,206,hours,0.003152643016742677
1662,201,working,0.003076122555171253
217,199,research,0.003045514370542683
2107,192,performance,0.002938385724342689
378,191,management,0.0029230816320284046
137,186,person,0.00284656117045698
626,184,value,0.0028159529858284107
214,178,theory,0.0027241284319427014
323,173,group,0.0026476079703712774
594,162,example,0.002479262954914144
506,161,education,0.002463958862599859
132,160,will,0.0024486547702855742
627,160,system,0.0024486547702855742
997,160,health,0.0024486547702855742
10,159,control,0.0024333506779712897
52,153,others,0.0023415261240855804
999,153,inequality,0.0023415261240855804
14,150,used,0.002295613847142726
1319,150,production,0.002295613847142726
29,147,goal,0.0022497015701998715
123,145,job,0.0022190933855713016
77,144,within,0.002203789293257017
124,144,self,0.002203789293257017
382,144,higher,0.002203789293257017
69,142,low,0.002173181108628447
873,141,children,0.0021578770163141626
1829,138,automation,0.0021119647393713077
509,137,influence,0.002096660647057023
580,136,psychology,0.002081356554742738
177,134,workers,0.0020507483701141687
1045,132,wealth,0.002020140185485599
1376,131,labor,0.002004836093171314
1003,130,organizational,0.0019895320008570293
539,129,behavior,0.0019742279085427443
147,127,found,0.0019436197239141746
135,126,different,0.00192831563159989
414,126,resources,0.00192831563159989
1053,125,mobility,0.001913011539285605
155,124,new,0.0018977074469713202
435,124,two,0.0018977074469713202
337,123,based,0.0018824033546570352
794,123,political,0.0018824033546570352
620,122,process,0.0018670992623427505
1404,122,growth,0.0018670992623427505
129,116,however,0.0017752747084570414
776,115,use,0.0017599706161427566
1010,114,stratification,0.0017446665238284717
148,112,employees,0.001714058339199902
151,112,organization,0.001714058339199902
1589,111,less,0.0016987542468856172
351,110,level,0.0016834501545713325
1643,109,needed,0.0016681460622570475
417,108,knowledge,0.0016528419699427628
1129,108,ses,0.0016528419699427628
508,107,orientation,0.0016375378776284778
900,107,likely,0.0016375378776284778
20,106,include,0.001622233785314193
383,106,ability,0.001622233785314193
888,106,study,0.001622233785314193
1390,106,economics,0.001622233785314193
433,105,world,0.001606929692999908
63,104,related,0.0015916256006856234
1652,104,marx,0.0015916256006856234
469,103,systems,0.0015763215083713384
998,100,industrial,0.001530409231428484
