,TF,Term,wTF
6,4,corpus,0.12121212121212122
16,3,language,0.09090909090909091
7,2,specific,0.06060606060606061
12,2,use,0.06060606060606061
0,1,objective,0.030303030303030304
1,1,module,0.030303030303030304
2,1,able,0.030303030303030304
3,1,compare,0.030303030303030304
4,1,score,0.030303030303030304
5,1,foreground,0.030303030303030304
8,1,against,0.030303030303030304
9,1,background,0.030303030303030304
10,1,reference,0.030303030303030304
11,1,example,0.030303030303030304
13,1,cases,0.030303030303030304
14,1,instance,0.030303030303030304
15,1,exploring,0.030303030303030304
17,1,sub,0.030303030303030304
18,1,culture,0.030303030303030304
19,1,community,0.030303030303030304
20,1,movement,0.030303030303030304
21,1,looking,0.030303030303030304
22,1,extend,0.030303030303030304
23,1,group,0.030303030303030304
24,1,differentiates,0.030303030303030304
25,1,common,0.030303030303030304
