,TF,Term,wTF
0,566,good,0.007544755328650075
157,486,truth,0.006478358815766672
339,477,law,0.00635838920806729
68,470,moral,0.006265079513189992
1476,445,little,0.005931830602913929
1477,441,miss,0.005878510777269758
38,401,ethics,0.0053453125208280565
1531,380,forgiveness,0.005065383436196164
380,341,people,0.004545515136165505
11,332,god,0.004425545528466122
583,306,theory,0.004078966661779016
677,291,self,0.003879017315613378
18,282,evil,0.003759047707913995
28,269,social,0.003585758274570442
347,257,natural,0.0034257987976379317
314,251,will,0.0033458190591716765
128,246,justice,0.0032791692771164636
196,230,human,0.003065889974539783
627,224,person,0.002985910236073528
40,213,philosophy,0.0028392807155520603
275,211,others,0.002812620802729975
85,196,life,0.002612671456564337
697,194,individual,0.002586011543742252
410,187,common,0.0024927018488649544
371,184,love,0.0024527119796318264
484,168,value,0.002239432677055146
67,165,theories,0.0021994428078220183
133,165,nature,0.0021994428078220183
1529,164,trust,0.002186112851410976
866,160,non,0.002132793025766806
344,156,group,0.0020794732001226356
72,155,ethical,0.002066143243711593
98,155,right,0.002066143243711593
22,154,concept,0.0020528132873005507
91,151,form,0.002012823418067423
758,149,relationship,0.0019861635052453377
239,147,two,0.001959503592423253
1700,147,compassion,0.001959503592423253
361,145,true,0.0019328436796011677
477,145,man,0.0019328436796011677
1216,145,act,0.0019328436796011677
319,144,however,0.0019195137231901253
404,142,according,0.0018928538103680401
698,140,even,0.001866193897545955
464,139,another,0.0018528639411349126
36,137,study,0.0018262040283128275
62,136,world,0.0018128740719017848
161,136,knowledge,0.0018128740719017848
2,134,see,0.0017862141590796999
541,134,example,0.0017862141590796999
706,133,used,0.0017728842026686572
560,132,help,0.0017595542462576148
37,126,morality,0.0016795745077913596
5006,126,rand,0.0016795745077913596
403,123,state,0.0016395846385582318
535,123,view,0.0016395846385582318
899,123,individuals,0.0016395846385582318
1812,123,pardon,0.0016395846385582318
717,121,book,0.001612924725736147
473,119,behavior,0.0015862648129140618
618,119,political,0.0015862648129140618
850,118,new,0.0015729348565030193
1251,118,altruism,0.0015729348565030193
135,117,must,0.0015596049000919767
390,117,states,0.0015596049000919767
199,113,found,0.0015062850744478066
148,111,things,0.0014796251616257215
1248,111,responsibility,0.0014796251616257215
1625,110,university,0.0014662952052146789
228,109,part,0.0014529652488036364
876,109,action,0.0014529652488036364
1777,107,men,0.0014263053359815513
27,105,society,0.0013996454231594662
6,104,considered,0.0013863154667484237
159,104,power,0.0013863154667484237
185,104,physical,0.0013863154667484237
792,104,without,0.0013863154667484237
56,103,religious,0.0013729855103373813
833,103,thus,0.0013729855103373813
2101,103,partner,0.0013729855103373813
826,101,psychology,0.0013463255975152961
1398,101,research,0.0013463255975152961
2243,101,press,0.0013463255975152961
458,100,based,0.0013329956411042537
1665,100,repentance,0.0013329956411042537
105,99,wrong,0.001319665684693211
225,99,greek,0.001319665684693211
4460,97,loyalty,0.001293005771871126
191,96,reason,0.0012796758154600834
800,96,actions,0.0012796758154600834
892,96,way,0.0012796758154600834
1559,96,virtue,0.0012796758154600834
59,92,plato,0.0012263559898159132
731,92,john,0.0012263559898159132
882,92,against,0.0012263559898159132
520,91,different,0.0012130260334048707
1734,90,made,0.0011996960769938283
235,89,called,0.0011863661205827856
1151,89,devil,0.0011863661205827856
1193,89,negative,0.0011863661205827856
925,88,less,0.0011730361641717432
1159,87,sin,0.0011597062077607007
1787,87,series,0.0011597062077607007
226,86,studies,0.001146376251349658
394,86,faith,0.001146376251349658
723,86,public,0.001146376251349658
213,85,thought,0.0011330462949386156
457,85,given,0.0011330462949386156
854,85,time,0.0011330462949386156
65,84,modern,0.001119716338527573
825,84,positive,0.001119716338527573
2365,84,century,0.001119716338527573
20,83,general,0.0011063863821165305
367,83,means,0.0011063863821165305
761,83,rights,0.0011063863821165305
43,82,term,0.001093056425705488
108,82,use,0.001093056425705488
1526,81,lie,0.0010797264692944454
118,80,within,0.001066396512883403
1771,79,said,0.0010530665564723602
95,78,word,0.0010397366000613178
326,78,sometimes,0.0010397366000613178
1163,78,article,0.0010397366000613178
2130,78,contrition,0.0010397366000613178
138,77,particular,0.0010264066436502753
152,77,important,0.0010264066436502753
504,77,therefore,0.0010264066436502753
906,77,make,0.0010264066436502753
60,76,aristotle,0.0010130766872392327
97,76,sense,0.0010130766872392327
540,76,goods,0.0010130766872392327
615,76,mind,0.0010130766872392327
1568,76,forgive,0.0010130766872392327
517,74,order,0.0009864167744171478
1206,74,likely,0.0009864167744171478
158,73,known,0.0009730868180061051
202,73,philosophers,0.0009730868180061051
660,73,rather,0.0009730868180061051
142,72,forms,0.0009597568615950626
653,72,values,0.0009597568615950626
784,72,whether,0.0009597568615950626
1249,72,someone,0.0009597568615950626
13,71,seen,0.0009464269051840201
163,71,concepts,0.0009464269051840201
837,71,process,0.0009464269051840201
46,70,among,0.0009330969487729775
47,70,ancient,0.0009330969487729775
604,70,something,0.0009330969487729775
352,69,legal,0.000919766992361935
718,69,principles,0.000919766992361935
903,69,original,0.000919766992361935
1607,69,health,0.000919766992361935
125,68,questions,0.0009064370359508924
287,68,work,0.0009064370359508924
401,68,related,0.0009064370359508924
7,67,beings,0.0008931070795398499
90,67,information,0.0008931070795398499
115,67,effect,0.0008931070795398499
174,67,terms,0.0008931070795398499
217,67,idea,0.0008931070795398499
796,67,though,0.0008931070795398499
1518,67,english,0.0008931070795398499
1620,67,published,0.0008931070795398499
39,66,religion,0.0008797771231288074
42,66,meaning,0.0008797771231288074
332,66,might,0.0008797771231288074
479,66,existence,0.0008797771231288074
548,66,including,0.0008797771231288074
951,66,fact,0.0008797771231288074
727,65,system,0.0008664471667177648
930,65,certain,0.0008664471667177648
3025,65,deception,0.0008664471667177648
556,64,section,0.0008531172103067223
44,63,associated,0.0008397872538956798
190,63,humans,0.0008397872538956798
268,63,sexual,0.0008397872538956798
274,63,helping,0.0008397872538956798
933,63,always,0.0008397872538956798
1242,63,need,0.0008397872538956798
55,62,history,0.0008264572974846372
365,62,three,0.0008264572974846372
2232,62,relational,0.0008264572974846372
4288,62,pardons,0.0008264572974846372
291,61,thomas,0.0008131273410735947
338,61,divine,0.0008131273410735947
939,61,practice,0.0008131273410735947
1638,61,transgression,0.0008131273410735947
77,60,realism,0.0007997973846625521
253,60,belief,0.0007997973846625521
267,60,personal,0.0007997973846625521
500,60,death,0.0007997973846625521
631,60,lies,0.0007997973846625521
1072,60,old,0.0007997973846625521
1340,60,laws,0.0007997973846625521
