,TF,Term,wTF
627,442,god,0.01037607399408423
24,242,social,0.005681017888163764
5,235,group,0.005516690924456547
686,203,church,0.004765481947509273
657,201,commandment,0.004718531386450068
326,181,behavior,0.004249025775858021
31,177,people,0.004155124653739612
107,164,positive,0.003849946006854782
327,163,will,0.0038264707263251795
1254,163,face,0.0038264707263251795
1229,160,politeness,0.0037560448847363728
703,152,parents,0.003568242640499554
234,147,person,0.003450866237851542
542,147,children,0.003450866237851542
1128,143,discipline,0.003356965115733133
352,137,use,0.0032161134325555192
769,137,shall,0.0032161134325555192
854,136,child,0.003192638152025917
633,135,name,0.0031691628714963145
256,126,used,0.0029578853467298934
653,125,catholic,0.002934410066200291
1049,121,catechism,0.002840508944081882
143,115,according,0.0026996572609042676
264,113,time,0.0026527066998450633
50,110,self,0.002582280858256256
615,109,cultural,0.0025588055777266538
625,107,commandments,0.002511855016667449
815,107,worship,0.002511855016667449
30,106,example,0.002488379736137847
641,97,adultery,0.002277102211371426
6,96,norms,0.0022536269308418237
13,95,others,0.0022301516503122213
28,94,individual,0.002206676369782619
43,93,culture,0.0021832010892530165
10,92,individuals,0.002159725808723414
718,91,respect,0.0021362505281938117
173,90,another,0.0021127752476642098
37,89,even,0.0020892999671346074
473,89,negative,0.0020892999671346074
678,88,lord,0.002065824686605005
203,86,against,0.0020188741255458002
365,86,make,0.0020188741255458002
628,85,gods,0.001995398845016198
964,85,life,0.001995398845016198
1235,85,etiquette,0.001995398845016198
1,84,act,0.0019719235644865955
502,84,states,0.0019719235644865955
683,84,new,0.0019719235644865955
622,82,father,0.001924973003427391
75,81,good,0.0019014977228977885
406,80,theory,0.0018780224423681864
1021,80,punishment,0.0018780224423681864
304,79,however,0.001854547161838584
363,79,must,0.001854547161838584
669,79,considered,0.001854547161838584
272,77,study,0.0018075966007793792
663,76,exodus,0.001784121320249777
870,76,marriage,0.001784121320249777
1702,76,sexual,0.001784121320249777
510,75,way,0.0017606460397201747
638,75,shalt,0.0017606460397201747
637,74,thou,0.0017371707591905723
862,74,idols,0.0017371707591905723
902,73,jesus,0.00171369547866097
19,72,society,0.0016902201981313677
135,72,different,0.0016902201981313677
559,72,article,0.0016902201981313677
1183,72,english,0.0016902201981313677
913,71,see,0.0016667449176017654
40,70,within,0.001643269637072163
208,69,research,0.0016197943565425606
0,68,conformity,0.0015963190760129584
4,67,behaviors,0.001572843795483356
624,67,ten,0.001572843795483356
945,67,love,0.001572843795483356
1227,67,deindividuation,0.001572843795483356
668,66,law,0.0015493685149537537
187,65,two,0.0015258932344241513
