,TF,Term,wTF
84,575,people,0.005406828589428945
51,560,happiness,0.005265780887096016
53,556,pain,0.0052281681664739016
254,498,social,0.004682783717453243
512,463,love,0.004353672412009742
54,461,pleasure,0.004334866051698684
93,448,person,0.004212624709676813
72,440,life,0.004137399268432584
461,426,self,0.004005754746255184
934,359,empathy,0.0033757416758347673
827,301,anxiety,0.0028303572268141087
732,298,experience,0.0028021476863475227
352,285,others,0.002679906344325651
565,279,found,0.002623487263392479
1188,274,positive,0.0025764713626148365
411,267,sexual,0.0025106491015261362
267,257,theory,0.00241661729997085
71,253,human,0.0023790045793487358
189,246,desire,0.0023131823182600355
377,246,state,0.0023131823182600355
2122,245,orgasm,0.002303779138104507
177,244,will,0.0022943759579489784
297,242,individual,0.002275569597637921
996,230,research,0.002162731435771578
183,223,time,0.0020969091746828776
455,218,psychological,0.0020498932739052345
824,218,emotions,0.0020498932739052345
1509,216,emotional,0.0020310869135941774
386,214,two,0.0020122805532831202
1162,214,study,0.0020122805532831202
874,213,behavior,0.002002877373127592
1115,208,flow,0.001955861472349949
497,207,individuals,0.0019464582921944202
251,206,however,0.0019370551120388916
1563,204,another,0.0019182487517278343
185,203,used,0.0019088455715723057
856,200,psychology,0.00188063603110572
44,199,utilitarianism,0.0018712328509501914
167,199,philosophy,0.0018712328509501914
715,197,negative,0.0018524264906391343
960,194,shame,0.0018242169501725483
103,191,good,0.0017960074097059626
2,189,see,0.0017772010493949054
121,187,term,0.001758394689083848
1184,185,associated,0.001739588328772791
347,184,even,0.0017301851486172623
940,183,grief,0.0017207819684617338
828,182,jealousy,0.0017113787883062052
920,182,arousal,0.0017113787883062052
927,181,depression,0.0017019756081506766
4,176,part,0.0016549597073730335
882,176,example,0.0016549597073730335
1798,176,feelings,0.0016549597073730335
943,168,hope,0.0015797342661288047
343,167,different,0.0015703310859732761
361,165,system,0.001551524725662219
941,165,guilt,0.001551524725662219
2009,164,serotonin,0.0015421215455066904
797,163,high,0.0015327183653511618
866,163,activity,0.0015327183653511618
952,163,pride,0.0015327183653511618
1036,162,emotion,0.0015233151851956333
1402,162,level,0.0015233151851956333
2438,162,disorder,0.0015233151851956333
302,161,feeling,0.0015139120050401045
1010,161,model,0.0015139120050401045
481,160,health,0.001504508824884576
541,159,levels,0.0014951056447290473
763,156,studies,0.0014668961042624616
380,154,fear,0.0014480897439514044
1288,153,response,0.0014386865637958759
1873,153,personality,0.0014386865637958759
258,151,needed,0.0014198802034848185
387,151,states,0.0014198802034848185
782,151,less,0.0014198802034848185
936,151,envy,0.0014198802034848185
58,150,related,0.00141047702332929
570,149,moral,0.0014010738431737614
56,148,suffering,0.0013916706630182328
278,148,sense,0.0013916706630182328
1069,147,cognitive,0.0013822674828627042
246,146,physical,0.0013728643027071756
955,146,rejection,0.0013728643027071756
449,145,work,0.001363461122551647
529,145,god,0.001363461122551647
298,144,way,0.0013540579423961183
663,142,brain,0.0013352515820850611
916,141,anger,0.0013258484019295325
1237,141,children,0.0013258484019295325
962,139,shyness,0.0013070420416184754
0,138,hedonism,0.0012976388614629468
523,138,personal,0.0012976388614629468
2461,138,loss,0.0012976388614629468
257,137,citation,0.0012882356813074182
362,137,based,0.0012882356813074182
1352,137,likely,0.0012882356813074182
131,134,according,0.0012600261408408323
921,133,awe,0.0012506229606853037
1522,132,women,0.0012412197805297751
947,131,loneliness,0.0012318166003742466
1718,131,satisfaction,0.0012318166003742466
410,130,lust,0.001222413420218718
919,129,apathy,0.0012130102400631894
633,128,include,0.0012036070599076608
128,127,word,0.0011942038797521323
285,127,cause,0.0011942038797521323
939,126,gratitude,0.0011848006995966035
577,125,action,0.001175397519441075
1558,125,help,0.001175397519441075
261,124,known,0.0011659943392855463
924,124,contempt,0.0011659943392855463
1275,123,article,0.0011565911591300178
1576,123,relationship,0.0011565911591300178
462,122,interest,0.0011471879789744892
376,121,form,0.0011377847988189606
809,121,new,0.0011377847988189606
1869,121,affect,0.0011377847988189606
67,119,important,0.0011189784385079035
922,119,boredom,0.0011189784385079035
954,118,regret,0.0011095752583523749
992,118,mental,0.0011095752583523749
1387,118,factors,0.0011095752583523749
322,117,higher,0.001100172078196846
279,116,experiences,0.0010907688980413175
1241,115,including,0.001081365717885789
331,114,actions,0.0010719625377302604
767,114,point,0.0010719625377302604
950,114,passion,0.0010719625377302604
937,113,euphoria,0.0010625593575747318
2544,113,effects,0.0010625593575747318
350,112,lead,0.0010531561774192032
382,112,world,0.0010531561774192032
466,112,body,0.0010531561774192032
120,111,long,0.0010437529972636746
368,111,general,0.0010437529972636746
2121,111,leisure,0.0010437529972636746
409,110,increased,0.001034349817108146
233,109,although,0.0010249466369526173
662,109,use,0.0010249466369526173
923,109,confidence,0.0010249466369526173
1251,109,symptoms,0.0010249466369526173
307,108,thus,0.0010155434567970887
933,108,embarrassment,0.0010155434567970887
590,107,mill,0.0010061402766415601
432,106,death,0.0009967370964860315
489,106,concept,0.0009967370964860315
1266,106,feel,0.0009967370964860315
152,105,make,0.000987333916330503
550,105,john,0.000987333916330503
555,105,man,0.000987333916330503
684,105,three,0.000987333916330503
303,103,therefore,0.0009685275560194458
2092,103,act,0.0009685275560194458
264,102,within,0.0009591243758639171
339,102,result,0.0009591243758639171
956,102,remorse,0.0009591243758639171
1735,102,activities,0.0009591243758639171
395,101,view,0.0009497211957083886
421,101,without,0.0009497211957083886
223,100,contentment,0.00094031801555286
337,100,rather,0.00094031801555286
478,100,considered,0.00094031801555286
2620,100,low,0.00094031801555286
206,99,set,0.0009309148353973314
415,99,ethics,0.0009309148353973314
1163,98,university,0.0009215116552418027
170,97,common,0.0009121084750862742
711,97,group,0.0009121084750862742
1351,96,ability,0.0009027052949307456
2451,96,might,0.0009027052949307456
330,95,humans,0.000893302114775217
873,95,stimulation,0.000893302114775217
951,95,pity,0.000893302114775217
1004,95,lack,0.000893302114775217
1112,95,mind,0.000893302114775217
159,94,things,0.0008838989346196884
172,94,sometimes,0.0008838989346196884
210,94,needs,0.0008838989346196884
2006,94,extraversion,0.0008838989346196884
1,93,uses,0.0008744957544641597
50,93,eudaimonia,0.0008744957544641597
207,93,increase,0.0008744957544641597
473,93,virtue,0.0008744957544641597
957,93,resentment,0.0008744957544641597
989,93,need,0.0008744957544641597
1715,93,greater,0.0008744957544641597
2184,93,differences,0.0008744957544641597
289,92,subjective,0.0008650925743086312
953,92,rage,0.0008650925743086312
1306,92,process,0.0008650925743086312
1512,92,situations,0.0008650925743086312
877,91,much,0.0008556893941531026
1855,91,perceived,0.0008556893941531026
400,90,sex,0.000846286213997574
500,90,means,0.000846286213997574
1404,90,relationships,0.000846286213997574
220,89,called,0.0008368830338420453
299,89,described,0.0008368830338420453
791,88,whether,0.0008274798536865168
1090,88,seen,0.0008274798536865168
1785,88,events,0.0008274798536865168
2934,88,treatment,0.0008274798536865168
156,87,joy,0.0008180766735309882
225,87,sorrow,0.0008180766735309882
609,87,must,0.0008180766735309882
876,87,become,0.0008180766735309882
1114,87,effect,0.0008180766735309882
1136,87,specific,0.0008180766735309882
1578,87,terms,0.0008180766735309882
938,86,frustration,0.0008086734933754596
2617,86,results,0.0008086734933754596
162,85,men,0.0007992703132199309
317,85,among,0.0007992703132199309
1520,85,female,0.0007992703132199309
582,84,meaning,0.0007898671330644024
1293,84,usually,0.0007898671330644024
348,83,though,0.0007804639529088738
805,83,evidence,0.0007804639529088738
2096,83,utility,0.0007804639529088738
79,82,either,0.0007710607727533452
191,82,heart,0.0007710607727533452
283,82,nature,0.0007710607727533452
336,82,control,0.0007710607727533452
580,82,society,0.0007710607727533452
622,82,since,0.0007710607727533452
627,82,tend,0.0007710607727533452
1181,82,affective,0.0007710607727533452
5,81,series,0.0007616575925978166
551,81,book,0.0007616575925978166
690,81,suggests,0.0007616575925978166
733,81,non,0.0007616575925978166
1283,81,learn,0.0007616575925978166
1314,81,major,0.0007616575925978166
1660,81,culture,0.0007616575925978166
1781,81,family,0.0007616575925978166
1824,81,similar,0.0007616575925978166
1968,81,certain,0.0007616575925978166
61,80,hedonic,0.000752254412442288
64,80,thought,0.000752254412442288
245,80,especially,0.000752254412442288
452,80,theories,0.000752254412442288
849,80,principle,0.000752254412442288
1239,80,several,0.000752254412442288
3221,80,mood,0.000752254412442288
4489,80,introverts,0.000752254412442288
231,79,century,0.0007428512322867594
966,79,worry,0.0007428512322867594
1126,79,message,0.0007428512322867594
127,78,greek,0.0007334480521312308
1071,78,responses,0.0007334480521312308
