,Term,Stem,wTFref,SType,Inn-Score,Inn-TF,Inn-wTF,Ope-Score,Ope-TF,Ope-wTF
0,abandoned,abandon,5.3540069387929924e-05,raw,0.023927282537895868,3.0,5.483658697082694e-05,,,
1,abilities,abil,2.7840836081723563e-05,raw,1.3710009305045052,6.0,0.00010967317394165388,,,
2,ability,abil,0.0001584786053882726,raw,1.1359625915381462,27.0,0.0004935292827374424,1.0513073916792197,9.0,0.00045346903814178467
3,able,abl,0.00046258619951171457,raw,0.0270089490753039,26.0,0.00047525042041383344,0.26777614965100527,12.0,0.0006046253841890462
4,absence,absenc,0.00011350494710241145,raw,-0.7274888061460252,3.0,5.483658697082694e-05,,,
5,academics,academ,6.53188846532745e-05,stem,0.3359020475587214,5.0,9.13943116180449e-05,1.532180693161859,6.0,0.0003023126920945231
6,academic,academ,0.00011992975542896303,raw,1.4146759940071667,27.0,0.0004935292827374424,0.9245556860400758,6.0,0.0003023126920945231
7,academy,academi,5.139846661241273e-05,raw,1.268722081384087,10.0,0.0001827886232360898,,,
8,academia,academia,,noref,,5.0,9.13943116180449e-05,,,
9,accelerating,acceler,1.2849616653103182e-05,raw,1.7387257106298226,4.0,7.311544929443592e-05,,,
10,accelerated,acceler,2.7840836081723563e-05,raw,0.9655358223963407,4.0,7.311544929443592e-05,,,
11,accepting,accept,4.4973658285861136e-05,raw,0.19828066968267363,3.0,5.483658697082694e-05,,,
12,acceptance,accept,0.00010493853600034265,raw,0.6502657934257309,11.0,0.00020106748555969876,,,
13,accept,accept,0.0001541953998372382,raw,-1.0338630116099587,3.0,5.483658697082694e-05,0.26777614965100527,4.0,0.00020154179472968206
14,accepted,accept,0.0002055938664496509,raw,0.14479198473168745,13.0,0.00023762521020691672,0.9916949888777044,11.0,0.0005542399355066257
15,accessible,access,1.0708013877585985e-05,raw,1.6333651949719963,3.0,5.483658697082694e-05,4.639752448471386,22.0,0.0011084798710132514
16,accessibility,access,3.105324024499936e-05,stem,0.5686544579795678,3.0,5.483658697082694e-05,,,
17,access,access,5.139846661241273e-05,raw,2.6550164425039777,40.0,0.0007311544929443592,3.5636130156553345,36.0,0.0018138761525671387
18,accomplished,accomplish,9.423052212275668e-05,raw,-0.030560902746173894,5.0,9.13943116180449e-05,,,
19,according,accord,0.0002998243885724076,raw,1.2098815813611534,55.0,0.001005337427798494,1.2122377584918567,20.0,0.0010077089736484103
20,accounting,account,2.5699233306206364e-05,raw,1.4510436381780418,6.0,0.00010967317394165388,,,
21,accounts,account,8.138090546965349e-05,raw,-0.10710097986850821,4.0,7.311544929443592e-05,,,
22,account,account,0.0002505675247355121,raw,-0.13307646627176903,12.0,0.00021934634788330776,-0.21773166613069567,4.0,0.00020154179472968206
23,accumulation,accumul,2.355763053068917e-05,raw,0.8449078346077261,3.0,5.483658697082694e-05,,,
24,accurate,accur,7.49560971431019e-05,raw,-0.31254495408331706,3.0,5.483658697082694e-05,,,
