,TF,Term,Stem,wTF,SType,Score,wTFref
1028,98,veto,veto,0.0036420395421436005,raw,5.136332970051125,2.1412313364923634e-05
1026,65,collapse,collaps,0.002415638471829939,raw,5.082427705214923,1.4988619355446544e-05
1518,21,islamic,islam,0.0007804370447450572,raw,4.799860733429912,6.42369400947709e-06
772,31,citation,citat,0.001152073732718894,raw,4.6784998764256445,1.0706156682461817e-05
730,38,participants,particip,0.0014122194143005797,raw,4.545626595045671,1.4988619355446544e-05
126,15,interpersonal,interperson,0.0005574550319607552,raw,4.463388496808699,6.42369400947709e-06
2474,108,wealth,wealth,0.004013676230117437,raw,4.4450393581405026,4.7107089402831995e-05
345,44,obedience,obedi,0.0016352014270848818,raw,4.44091564095664,1.927108202843127e-05
1108,23,template,templat,0.0008547643823398246,raw,4.380006887869648,1.0706156682461817e-05
9,13,portal,portal,0.0004831276943659878,raw,4.320287653168026,6.42369400947709e-06
1413,13,mid,mid,0.0004831276943659878,raw,4.320287653168026,6.42369400947709e-06
2278,20,shocks,shock,0.0007432733759476735,raw,4.2402449454944895,1.0706156682461817e-05
2835,12,wrought,wrought,0.0004459640255686041,raw,4.2402449454944895,6.42369400947709e-06
1096,19,citations,citat,0.0007061097071502898,stem,4.1889516511069385,1.0706156682461817e-05
2277,19,experimenter,experiment,0.0007061097071502898,raw,4.1889516511069385,1.0706156682461817e-05
1999,15,assent,assent,0.0005574550319607552,raw,4.175706424356918,8.564925345969454e-06
453,40,dominance,domin,0.001486546751895347,raw,4.144934765690165,2.3553544701415998e-05
2679,17,computers,comput,0.0006317823695555225,raw,4.077726015996714,1.0706156682461817e-05
951,57,productivity,product,0.0021183291214508697,raw,4.063788508152933,3.6400932720370175e-05
441,10,interactions,interact,0.00037163668797383676,raw,4.057923388700535,6.42369400947709e-06
640,10,ruler,ruler,0.00037163668797383676,raw,4.057923388700535,6.42369400947709e-06
1886,16,holocaust,holocaust,0.0005946187007581388,raw,4.01710139418028,1.0706156682461817e-05
2653,16,cranes,crane,0.0005946187007581388,stem,4.01710139418028,1.0706156682461817e-05
1774,39,media,media,0.0014493830830979635,raw,3.9525628730427083,2.7836007374400724e-05
646,21,revolutions,revolut,0.0007804370447450572,raw,3.9525628730427083,1.4988619355446544e-05
309,12,rewards,reward,0.0004459640255686041,raw,3.9525628730427083,8.564925345969454e-06
731,12,global,global,0.0004459640255686041,raw,3.9525628730427083,8.564925345969454e-06
760,12,researchers,research,0.0004459640255686041,raw,3.9525628730427083,8.564925345969454e-06
1977,9,override,overrid,0.0003344730191764531,stem,3.9525628730427083,6.42369400947709e-06
2181,9,tibetan,tibetan,0.0003344730191764531,raw,3.9525628730427083,6.42369400947709e-06
943,29,non,non,0.0010777463951241266,raw,3.918661321367027,2.1412313364923634e-05
2677,17,automation,autom,0.0006317823695555225,raw,3.8954044592027595,1.284738801895418e-05
929,39,boundaries,boundari,0.0014493830830979635,raw,3.8784549008889866,2.9977238710893088e-05
2311,11,participant,particip,0.00040880035677122044,raw,3.8655514960530786,8.564925345969454e-06
2063,54,package,packag,0.0020068381150587186,raw,3.847202357384882,4.282462672984727e-05
55,8,behaviour,behaviour,0.0002973093503790694,raw,3.834779837386325,6.42369400947709e-06
1925,8,islam,islam,0.0002973093503790694,raw,3.834779837386325,6.42369400947709e-06
2657,8,interchangeable,interchang,0.0002973093503790694,raw,3.834779837386325,6.42369400947709e-06
2722,8,shovels,shovel,0.0002973093503790694,raw,3.834779837386325,6.42369400947709e-06
536,10,labour,labour,0.00037163668797383676,raw,3.770241316248754,8.564925345969454e-06
769,10,feedback,feedback,0.00037163668797383676,raw,3.770241316248754,8.564925345969454e-06
2392,10,archived,archiv,0.00037163668797383676,stem,3.770241316248754,8.564925345969454e-06
2699,41,steam,steam,0.0015237104206927308,raw,3.7343093070226905,3.6400932720370175e-05
283,7,expertise,expertis,0.00026014568158168577,raw,3.701248444761802,6.42369400947709e-06
2537,7,cohen,cohen,0.00026014568158168577,raw,3.701248444761802,6.42369400947709e-06
1214,9,radicals,radic,0.0003344730191764531,raw,3.6648808005909275,8.564925345969454e-06
2180,9,vatican,vatican,0.0003344730191764531,raw,3.6648808005909275,8.564925345969454e-06
1130,11,dynasty,dynasti,0.00040880035677122044,raw,3.642407944738869,1.0706156682461817e-05
1168,11,authoritarianism,authoritarian,0.00040880035677122044,stem,3.642407944738869,1.0706156682461817e-05
57,203,authority,author,0.007544224765868887,raw,3.6345570702631305,0.00019913451429378977
1268,33,parliament,parliament,0.0012264010703136614,raw,3.577869423601298,3.4259701383877815e-05
1207,8,moderates,moder,0.0002973093503790694,raw,3.547097764934544,8.564925345969454e-06
1499,8,societal,societ,0.0002973093503790694,raw,3.547097764934544,8.564925345969454e-06
2648,8,mechanization,mechan,0.0002973093503790694,raw,3.547097764934544,8.564925345969454e-06
2662,8,chemicals,chemic,0.0002973093503790694,raw,3.547097764934544,8.564925345969454e-06
2820,8,containers,contain,0.0002973093503790694,raw,3.547097764934544,8.564925345969454e-06
2294,6,administer,administ,0.00022298201278430206,raw,3.547097764934544,6.42369400947709e-06
2404,6,perspectives,perspect,0.00022298201278430206,raw,3.547097764934544,6.42369400947709e-06
2813,6,conveyors,conveyor,0.00022298201278430206,stem,3.547097764934544,6.42369400947709e-06
1175,9,crane,crane,0.0003344730191764531,raw,3.4417372492767178,1.0706156682461817e-05
1648,9,authoritarian,authoritarian,0.0003344730191764531,raw,3.4417372492767178,1.0706156682461817e-05
2177,9,prophet,prophet,0.0003344730191764531,raw,3.4417372492767178,1.0706156682461817e-05
2187,9,byzantine,byzantin,0.0003344730191764531,raw,3.4417372492767178,1.0706156682461817e-05
2689,9,pulp,pulp,0.0003344730191764531,raw,3.4417372492767178,1.0706156682461817e-05
1097,7,verification,verif,0.00026014568158168577,raw,3.4135663723100214,8.564925345969454e-06
1393,7,ussr,ussr,0.00026014568158168577,raw,3.4135663723100214,8.564925345969454e-06
2336,7,documentary,documentari,0.00026014568158168577,raw,3.4135663723100214,8.564925345969454e-06
2738,12,yields,yield,0.0004459640255686041,raw,3.3929470851072856,1.4988619355446544e-05
152,34,tactics,tactic,0.001263564739111045,raw,3.384578835436769,4.282462672984727e-05
1418,15,hierarchy,hierarchi,0.0005574550319607552,raw,3.3647762081405896,1.927108202843127e-05
1812,20,cultures,cultur,0.0007432733759476735,raw,3.364776208140589,2.569477603790836e-05
162,10,compliance,complianc,0.00037163668797383676,raw,3.364776208140589,1.284738801895418e-05
447,5,nonverbal,nonverb,0.00018581834398691838,raw,3.364776208140589,6.42369400947709e-06
492,5,marxist,marxist,0.00018581834398691838,raw,3.364776208140589,6.42369400947709e-06
527,5,ideologies,ideolog,0.00018581834398691838,raw,3.364776208140589,6.42369400947709e-06
610,5,punish,punish,0.00018581834398691838,raw,3.364776208140589,6.42369400947709e-06
1897,5,behavioral,behavior,0.00018581834398691838,raw,3.364776208140589,6.42369400947709e-06
2319,5,prods,prod,0.00018581834398691838,stem,3.364776208140589,6.42369400947709e-06
2410,5,individualist,individualist,0.00018581834398691838,raw,3.364776208140589,6.42369400947709e-06
2728,5,canal,canal,0.00018581834398691838,raw,3.364776208140589,6.42369400947709e-06
1171,104,experiment,experi,0.0038650215549279024,raw,3.3552067571244386,0.00013489757419901888
2415,28,economics,econom,0.001040582726326743,raw,3.352941750493587,3.6400932720370175e-05
1022,13,bias,bia,0.0004831276943659878,raw,3.3394584001562997,1.7129850691938907e-05
907,8,tendencies,tendenc,0.0002973093503790694,raw,3.3239542136203344,1.0706156682461817e-05
2649,8,mechanized,mechan,0.0002973093503790694,raw,3.3239542136203344,1.0706156682461817e-05
44,22,psychology,psycholog,0.0008176007135424409,raw,3.305935708117656,2.9977238710893088e-05
2070,51,elected,elect,0.0018953471086665676,raw,3.2892686556324446,7.066063410424798e-05
2635,17,spinning,spin,0.0006317823695555225,raw,3.289268655632444,2.3553544701415998e-05
2395,15,retrieved,retriev,0.0005574550319607552,raw,3.2594156924827633,2.1412313364923634e-05
590,6,circuits,circuit,0.00022298201278430206,raw,3.2594156924827633,8.564925345969454e-06
1273,6,commune,commun,0.00022298201278430206,raw,3.2594156924827633,8.564925345969454e-06
1923,6,exile,exil,0.00022298201278430206,raw,3.2594156924827633,8.564925345969454e-06
2828,6,casting,cast,0.00022298201278430206,raw,3.2594156924827633,8.564925345969454e-06
2858,6,tabulating,tabul,0.00022298201278430206,stem,3.2594156924827633,8.564925345969454e-06
1089,9,tribal,tribal,0.0003344730191764531,raw,3.259415692482763,1.284738801895418e-05
1679,9,subordinate,subordin,0.0003344730191764531,raw,3.259415692482763,1.284738801895418e-05
1103,13,challenged,challeng,0.0004831276943659878,raw,3.221675364499916,1.927108202843127e-05
1453,10,disorder,disord,0.00037163668797383676,raw,3.210625528313331,1.4988619355446544e-05
2812,7,unloading,unload,0.00026014568158168577,raw,3.1904228209958116,1.0706156682461817e-05
627,11,obey,obey,0.00040880035677122044,raw,3.172404315493133,1.7129850691938907e-05
0,469,power,power,0.017429760665972946,raw,3.169742615758273,0.0007323011170803882
59,16,perceived,perceiv,0.0005946187007581388,raw,3.1416326568263795,2.569477603790836e-05
2077,8,utah,utah,0.0002973093503790694,raw,3.1416326568263795,1.284738801895418e-05
2587,8,automated,autom,0.0002973093503790694,stem,3.1416326568263795,1.284738801895418e-05
444,4,powerless,powerless,0.0001486546751895347,raw,3.1416326568263795,6.42369400947709e-06
807,4,ultimatum,ultimatum,0.0001486546751895347,raw,3.1416326568263795,6.42369400947709e-06
870,4,unilateral,unilater,0.0001486546751895347,raw,3.1416326568263795,6.42369400947709e-06
995,4,perceives,perceiv,0.0001486546751895347,raw,3.1416326568263795,6.42369400947709e-06
1328,4,dissolution,dissolut,0.0001486546751895347,raw,3.1416326568263795,6.42369400947709e-06
1498,4,apartheid,apartheid,0.0001486546751895347,raw,3.1416326568263795,6.42369400947709e-06
1548,4,ottoman,ottoman,0.0001486546751895347,raw,3.1416326568263795,6.42369400947709e-06
1592,4,iraq,iraq,0.0001486546751895347,raw,3.1416326568263795,6.42369400947709e-06
1601,4,monarch,monarch,0.0001486546751895347,raw,3.1416326568263795,6.42369400947709e-06
1764,4,viewpoints,viewpoint,0.0001486546751895347,raw,3.1416326568263795,6.42369400947709e-06
1867,4,disruption,disrupt,0.0001486546751895347,raw,3.1416326568263795,6.42369400947709e-06
1944,4,soda,soda,0.0001486546751895347,raw,3.1416326568263795,6.42369400947709e-06
1984,4,consuls,consul,0.0001486546751895347,stem,3.1416326568263795,6.42369400947709e-06
2184,4,antiquity,antiqu,0.0001486546751895347,raw,3.1416326568263795,6.42369400947709e-06
2191,4,coined,coin,0.0001486546751895347,raw,3.1416326568263795,6.42369400947709e-06
2781,4,steels,steel,0.0001486546751895347,raw,3.1416326568263795,6.42369400947709e-06
2857,4,robots,robot,0.0001486546751895347,raw,3.1416326568263795,6.42369400947709e-06
27,9,environmental,environment,0.0003344730191764531,raw,3.105265012655505,1.4988619355446544e-05
2697,6,refining,refin,0.00022298201278430206,stem,3.087565435556104,1.0170848848338725e-05
915,29,happiness,happi,0.0010777463951241266,raw,3.085752198431923,4.9248320739324355e-05
792,10,decreased,decreas,0.00037163668797383676,raw,3.0770941356888084,1.7129850691938907e-05
1172,10,petty,petti,0.00037163668797383676,raw,3.0770941356888084,1.7129850691938907e-05
82,5,coercion,coercion,0.00018581834398691838,raw,3.0770941356888084,8.564925345969454e-06
1633,5,coup,coup,0.00018581834398691838,raw,3.0770941356888084,8.564925345969454e-06
1640,5,cleansing,cleans,0.00018581834398691838,raw,3.0770941356888084,8.564925345969454e-06
2585,5,inventions,invent,0.00018581834398691838,raw,3.0770941356888084,8.564925345969454e-06
2769,5,hearth,hearth,0.00018581834398691838,raw,3.0770941356888084,8.564925345969454e-06
73,11,subordinates,subordin,0.00040880035677122044,raw,3.05462127983675,1.927108202843127e-05
38,6,organizational,organiz,0.00022298201278430206,raw,3.0362721411685536,1.0706156682461817e-05
502,83,revolution,revolut,0.003084584510182845,raw,3.0242959501218376,0.00014988619355446543
1593,8,commonwealth,commonwealth,0.0002973093503790694,raw,2.9874819769991214,1.4988619355446544e-05
2185,8,tibet,tibet,0.0002973093503790694,raw,2.9874819769991214,1.4988619355446544e-05
123,17,reward,reward,0.0006317823695555225,raw,2.979113727328605,3.211847004738545e-05
725,10,dual,dual,0.00037163668797383676,raw,2.959311100032425,1.927108202843127e-05
151,11,abusive,abus,0.00040880035677122044,stem,2.949260764178924,2.141231336492363e-05
1537,11,psychologist,psychologist,0.00040880035677122044,raw,2.9492607641789235,2.1412313364923634e-05
2810,12,loading,load,0.0004459640255686041,raw,2.9409619613642284,2.3553544701415998e-05
