,Term,Stem,wTFref,SType,Pow-Score,Pow-TF,Pow-wTF,Uni-Score,Uni-TF,Uni-wTF
0,aapa,aapa,,noref,,,,,3.0,7.798284377436964e-06
1,aarhus,aarhu,,noref,,,,,4.0,1.0397712503249286e-05
2,ababa,ababa,,noref,,,,,3.0,7.798284377436964e-06
3,abatement,abat,,noref,,,,,7.0,1.819599688068625e-05
4,abbie,abbi,,noref,,,,,7.0,1.819599688068625e-05
5,abbott,abbott,,noref,,,,,5.0,1.2997140629061606e-05
6,abbreviation,abbrevi,,noref,,,,,6.0,1.5596568754873928e-05
7,abc,abc,,noref,,,,,3.0,7.798284377436964e-06
8,abdel,abdel,,noref,,,,,3.0,7.798284377436964e-06
9,abdelrahim,abdelrahim,,noref,,,,,5.0,1.2997140629061606e-05
10,abdu,abdu,,noref,,,,,28.0,7.2783987522745e-05
11,abduce,abduc,,noref,,,,,3.0,7.798284377436964e-06
12,abduction,abduct,,noref,,,,,119.0,0.0003093319469716662
13,abductions,abduct,,noref,,,,,4.0,1.0397712503249286e-05
14,abductive,abduct,,noref,,,,,39.0,0.00010137769690668053
15,abdullah,abdullah,,noref,,,,,6.0,1.5596568754873928e-05
16,abernathy,abernathi,,noref,,,,,12.0,3.1193137509747856e-05
17,abhay,abhay,,noref,,,,,5.0,1.2997140629061606e-05
18,abheda,abheda,,noref,,,,,3.0,7.798284377436964e-06
19,abhinavagupta,abhinavagupta,,noref,,,,,5.0,1.2997140629061606e-05
20,abhor,abhor,,noref,,,,,3.0,7.798284377436964e-06
21,abiotic,abiot,,noref,,,,,16.0,4.159085001299714e-05
22,ableism,ableism,,noref,,,,,3.0,7.798284377436964e-06
23,abolitionism,abolition,,noref,,,,,8.0,2.079542500649857e-05
24,abomination,abomin,,noref,,,,,4.0,1.0397712503249286e-05
25,abrams,abram,,noref,,,,,3.0,7.798284377436964e-06
26,abrogation,abrog,,noref,,,,,3.0,7.798284377436964e-06
27,absolutist,absolutist,,noref,,,,,8.0,2.079542500649857e-05
28,abstain,abstain,,noref,,,,,4.0,1.0397712503249286e-05
29,abstaining,abstain,,noref,,,,,5.0,1.2997140629061606e-05
30,abu,abu,,noref,,,,,4.0,1.0397712503249286e-05
31,academia,academia,,noref,,,,,15.0,3.899142188718482e-05
