,TF,Term,wTF
0,659,security,0.015422419845541773
23,456,social,0.010671659255792184
358,342,risk,0.008003744441844138
84,307,human,0.007184647788439036
1404,242,reciprocity,0.005663468289258133
394,240,peace,0.005616662766206412
964,205,waste,0.0047975661128013105
221,195,people,0.00456353849754271
725,159,hygiene,0.0037210390826117484
7,154,national,0.003604025274982448
292,154,states,0.003604025274982448
865,152,pollution,0.0035572197519307277
413,146,society,0.0034168031827755676
45,139,example,0.0032529838520945474
62,139,used,0.0032529838520945474
1160,130,development,0.0030423589983618066
203,125,international,0.0029253451907325064
58,124,state,0.0029019424292066466
474,122,norm,0.002855136906154926
298,117,united,0.002738123098525626
392,117,safety,0.002738123098525626
526,114,class,0.002667914813948046
144,111,economic,0.002597706529370466
366,111,will,0.002597706529370466
130,105,air,0.0024572899602153054
467,105,group,0.0024572899602153054
295,104,individuals,0.0024338871986894456
194,102,environmental,0.002387081675637725
702,101,health,0.0023636789141118653
106,99,individual,0.0023168733910601453
965,99,management,0.0023168733910601453
654,98,theory,0.002293470629534285
126,95,power,0.002223262344956705
262,94,world,0.0021998595834308446
898,90,use,0.0021062485373274046
728,88,water,0.0020594430142756846
9,87,war,0.0020360402527498244
199,87,political,0.0020360402527498244
684,87,behaviour,0.0020360402527498244
242,86,control,0.0020126374912239646
428,85,norms,0.0019892347296981043
567,84,time,0.001965831968172244
115,83,order,0.0019424292066463843
233,83,countries,0.0019424292066463843
30,81,environment,0.001895623683594664
683,81,anti,0.001895623683594664
311,80,military,0.001872220922068804
100,78,system,0.001825415399017084
491,77,within,0.001802012637491224
362,76,different,0.0017786098759653638
456,76,based,0.0017786098759653638
663,76,return,0.0017786098759653638
275,75,practices,0.0017552071144395038
122,72,include,0.0016849988298619238
335,72,two,0.0016849988298619238
511,72,high,0.0016849988298619238
689,72,cleaning,0.0016849988298619238
51,71,food,0.0016615960683360636
123,71,including,0.0016615960683360636
200,71,public,0.0016615960683360636
959,71,contamination,0.0016615960683360636
65,70,systems,0.0016381933068102036
578,70,needed,0.0016381933068102036
61,68,term,0.0015913877837584836
268,68,global,0.0015913877837584836
576,68,related,0.0015913877837584836
1443,68,negative,0.0015913877837584836
1472,68,however,0.0015913877837584836
168,67,others,0.0015679850222326235
252,67,life,0.0015679850222326235
