,TF,Term,wTF
435,596,creativity,0.013524552963601706
340,442,independence,0.010029953707905964
232,281,new,0.006376509031496778
1856,271,united,0.006149587001906145
465,257,intelligence,0.00583189616047926
470,253,creative,0.005741127348643006
3177,214,yes,0.0048561314332395385
260,211,theory,0.004788054824362349
1681,199,play,0.00451574838885359
1301,190,innovation,0.00431151856222202
596,179,ideas,0.004061904329672325
206,149,process,0.0033811382409004265
534,149,research,0.0033811382409004265
367,143,people,0.003244985023146047
0,140,self,0.003176908414268857
464,136,general,0.003086139602432604
123,135,group,0.003063447399473541
2218,132,kingdom,0.002995370790596351
353,131,work,0.0029726785876372877
249,129,state,0.0029272941817191614
682,127,development,0.0028819097758010347
106,126,states,0.0028592175728419716
523,117,positive,0.002654987746210402
506,111,individual,0.0025188345284560226
489,110,day,0.002496142325496959
455,109,cognitive,0.002473450122537896
1252,108,performance,0.002450757919578833
78,107,social,0.0024280657166197693
1431,107,curiosity,0.0024280657166197693
418,102,problem,0.002314604701824453
1358,102,music,0.002314604701824453
119,100,used,0.0022692202959063265
490,99,model,0.0022465280929472634
293,98,thinking,0.0022238358899882
298,95,time,0.00215575928111101
3134,95,france,0.00215575928111101
632,93,art,0.002110374875192884
243,92,ability,0.0020876826722338203
634,92,republic,0.0020876826722338203
528,91,list,0.002064990469274757
254,90,will,0.002042298266315694
341,89,example,0.0020196060633566305
844,87,high,0.001974221657438504
2240,87,secession,0.001974221657438504
969,86,task,0.0019515294544794409
413,85,different,0.0019288372515203775
1421,85,emotions,0.0019288372515203775
271,84,study,0.0019061450485613144
1083,83,team,0.001883452845602251
392,82,two,0.0018607606426431877
447,82,invention,0.0018607606426431877
56,81,information,0.0018380684396841246
168,81,nations,0.0018380684396841246
1790,81,brainstorming,0.0018380684396841246
2166,81,territory,0.0018380684396841246
256,80,idea,0.0018153762367250613
1248,79,children,0.001792684033765998
188,78,behavior,0.0017699918308069348
208,76,union,0.0017246074248888081
263,74,human,0.0016792230189706817
322,74,however,0.0016792230189706817
339,74,declaration,0.0016792230189706817
382,74,processes,0.0016792230189706817
549,74,sternberg,0.0016792230189706817
104,73,within,0.0016565308160116183
182,73,knowledge,0.0016565308160116183
2236,73,referendum,0.0016565308160116183
52,72,system,0.0016338386130525552
116,70,non,0.0015884542071344285
460,70,studies,0.0015884542071344285
559,70,found,0.0015884542071344285
1800,70,status,0.0015884542071344285
103,69,others,0.0015657620041753654
160,69,important,0.0015657620041753654
236,69,freedom,0.0015657620041753654
1865,69,improvisation,0.0015657620041753654
3186,69,french,0.0015657620041753654
938,68,based,0.001543069801216302
1072,67,using,0.0015203775982572387
2243,67,territories,0.0015203775982572387
834,66,use,0.0014976853952981756
1596,66,effort,0.0014976853952981756
2885,66,bullying,0.0014976853952981756
222,64,individuals,0.001452300989380049
248,64,free,0.001452300989380049
1342,64,adaptive,0.001452300989380049
481,63,learning,0.0014296087864209858
673,63,abilities,0.0014296087864209858
312,62,assembly,0.0014069165834619225
81,61,government,0.0013842243805028591
603,61,levels,0.0013842243805028591
134,60,associated,0.001361532177543796
213,60,members,0.001361532177543796
276,60,number,0.001361532177543796
1229,59,three,0.0013388399745847327
145,58,national,0.0013161477716256693
816,58,solving,0.0013161477716256693
1029,58,tests,0.0013161477716256693
16,57,attention,0.0012934555686666062
231,57,form,0.0012934555686666062
496,57,approach,0.0012934555686666062
936,57,computational,0.0012934555686666062
43,56,level,0.0012707633657075429
151,56,see,0.0012707633657075429
1145,56,gardner,0.0012707633657075429
296,55,brain,0.0012480711627484795
689,55,developed,0.0012480711627484795
2162,55,south,0.0012480711627484795
84,54,concept,0.0012253789597894164
121,54,person,0.0012253789597894164
161,54,international,0.0012253789597894164
1030,54,participants,0.0012253789597894164
2230,54,islands,0.0012253789597894164
95,53,including,0.001202686756830353
153,53,another,0.001202686756830353
454,53,psychology,0.001202686756830353
545,53,novel,0.001202686756830353
2,51,article,0.0011573023509122266
150,51,term,0.0011573023509122266
491,51,theories,0.0011573023509122266
73,50,related,0.0011346101479531633
85,50,several,0.0011346101479531633
158,50,called,0.0011346101479531633
488,50,century,0.0011346101479531633
518,50,memory,0.0011346101479531633
616,50,create,0.0011346101479531633
775,50,university,0.0011346101479531633
35,49,part,0.0011119179449941
199,49,governing,0.0011119179449941
311,49,include,0.0011119179449941
443,49,musical,0.0011119179449941
787,49,arts,0.0011119179449941
6,48,help,0.0010892257420350368
344,48,control,0.0010892257420350368
806,48,relationship,0.0010892257420350368
1621,48,countries,0.0010892257420350368
66,47,technology,0.0010665335390759735
201,47,become,0.0010665335390759735
381,47,movement,0.0010665335390759735
410,47,given,0.0010665335390759735
1018,47,environment,0.0010665335390759735
1051,47,skills,0.0010665335390759735
1447,47,reward,0.0010665335390759735
456,46,science,0.0010438413361169101
991,46,neural,0.0010438413361169101
1075,46,computer,0.0010438413361169101
1450,46,goals,0.0010438413361169101
378,45,much,0.001021149133157847
695,45,known,0.001021149133157847
1262,45,life,0.001021149133157847
1612,45,emotional,0.001021149133157847
3,44,multiple,0.0009984569301987837
22,44,able,0.0009984569301987837
58,44,political,0.0009984569301987837
350,44,whether,0.0009984569301987837
863,44,result,0.0009984569301987837
1244,44,support,0.0009984569301987837
1329,44,activity,0.0009984569301987837
54,43,higher,0.0009757647272397204
55,43,education,0.0009757647272397204
69,43,world,0.0009757647272397204
277,43,independent,0.0009757647272397204
582,43,according,0.0009757647272397204
680,43,even,0.0009757647272397204
1909,43,british,0.0009757647272397204
7,42,improve,0.0009530725242806572
281,42,physical,0.0009530725242806572
483,42,history,0.0009530725242806572
681,42,later,0.0009530725242806572
754,42,processing,0.0009530725242806572
849,42,significant,0.0009530725242806572
1545,42,stress,0.0009530725242806572
3256,42,spain,0.0009530725242806572
11,41,learn,0.0009303803213215939
17,41,politics,0.0009303803213215939
371,41,negative,0.0009303803213215939
517,41,working,0.0009303803213215939
617,41,make,0.0009303803213215939
786,41,among,0.0009303803213215939
800,41,led,0.0009303803213215939
901,41,needed,0.0009303803213215939
1366,41,visual,0.0009303803213215939
1876,41,press,0.0009303803213215939
2791,41,majority,0.0009303803213215939
3136,41,netherlands,0.0009303803213215939
94,40,activities,0.0009076881183625306
449,40,painting,0.0009076881183625306
565,40,problems,0.0009076881183625306
996,40,thus,0.0009076881183625306
1568,40,area,0.0009076881183625306
191,39,set,0.0008849959154034674
200,39,definition,0.0008849959154034674
674,39,great,0.0008849959154034674
873,39,evidence,0.0008849959154034674
895,39,generation,0.0008849959154034674
1489,39,better,0.0008849959154034674
46,38,field,0.0008623037124444041
