,TF,Term,wTF
174,240,tourism,0.01974658548625967
153,146,fiction,0.012012506170807964
134,142,sports,0.011683396412703637
50,102,travel,0.008392298831660358
1240,87,genre,0.00715813723876913
193,76,world,0.006253085403982228
210,70,story,0.005759420766825736
694,70,sport,0.005759420766825736
415,67,music,0.005512588448247491
1186,60,television,0.004936646371564917
1260,58,fantasy,0.004772091492512753
277,56,international,0.004607536613460589
702,56,usually,0.004607536613460589
1197,54,science,0.004442981734408425
542,51,century,0.004196149415830179
113,49,time,0.004031594536778016
117,48,adventure,0.003949317097251934
192,48,stories,0.003949317097251934
88,47,people,0.0038670396577258517
268,47,genres,0.0038670396577258517
462,47,million,0.0038670396577258517
66,46,used,0.0037847622181997696
241,46,game,0.0037847622181997696
217,44,include,0.0036202073391476057
221,44,new,0.0036202073391476057
425,44,united,0.0036202073391476057
156,43,games,0.003537929899621524
410,38,including,0.003126542701991114
42,37,use,0.003044265262465032
309,37,billion,0.003044265262465032
476,36,europe,0.00296198782293895
209,35,known,0.002879710383412868
90,34,events,0.0027974329438867863
570,34,european,0.0027974329438867863
1258,34,comedy,0.0027974329438867863
1259,34,drama,0.0027974329438867863
102,33,life,0.002715155504360704
269,33,exploration,0.002715155504360704
361,33,social,0.002715155504360704
1244,32,series,0.0026328780648346224
43,31,term,0.0025506006253085403
203,31,popular,0.0025506006253085403
223,31,based,0.0025506006253085403
278,31,country,0.0025506006253085403
909,31,elements,0.0025506006253085403
1028,31,historical,0.0025506006253085403
34,30,physical,0.0024683231857824586
311,30,real,0.0024683231857824586
524,30,works,0.0024683231857824586
907,30,show,0.0024683231857824586
981,30,crime,0.0024683231857824586
46,28,action,0.0023037683067302947
442,28,work,0.0023037683067302947
527,28,early,0.0023037683067302947
573,28,western,0.0023037683067302947
1278,28,characters,0.0023037683067302947
72,27,person,0.0022214908672042125
124,27,sometimes,0.0022214908672042125
205,27,films,0.0022214908672042125
229,27,way,0.0022214908672042125
296,27,countries,0.0022214908672042125
753,27,technology,0.0022214908672042125
1261,27,horror,0.0022214908672042125
85,26,similar,0.002139213427678131
194,26,form,0.002139213427678131
443,26,includes,0.002139213427678131
477,26,states,0.002139213427678131
604,26,history,0.002139213427678131
1237,26,film,0.002139213427678131
155,25,video,0.0020569359881520487
479,25,asia,0.0020569359881520487
1292,25,subgenre,0.0020569359881520487
28,24,generally,0.001974658548625967
360,24,dark,0.001974658548625967
365,24,space,0.001974658548625967
471,24,number,0.001974658548625967
55,23,around,0.0018923811090998848
172,23,examples,0.0018923811090998848
267,23,list,0.0018923811090998848
432,23,non,0.0018923811090998848
526,23,different,0.0018923811090998848
935,23,set,0.0018923811090998848
2,22,see,0.0018101036695738028
26,22,development,0.0018101036695738028
29,22,example,0.0018101036695738028
31,22,political,0.0018101036695738028
178,22,explorers,0.0018101036695738028
270,22,tourist,0.0018101036695738028
137,21,major,0.001727826230047721
283,21,common,0.001727826230047721
0,20,stimulation,0.001645548790521639
36,20,means,0.001645548790521639
260,20,cook,0.001645548790521639
273,20,tourists,0.001645548790521639
363,20,religious,0.001645548790521639
803,20,human,0.001645548790521639
862,20,participation,0.001645548790521639
870,20,type,0.001645548790521639
876,20,discovered,0.001645548790521639
81,19,much,0.001563271350995557
343,19,tour,0.001563271350995557
591,19,american,0.001563271350995557
631,19,place,0.001563271350995557
726,19,play,0.001563271350995557
761,19,age,0.001563271350995557
903,19,explored,0.001563271350995557
142,18,literature,0.001480993911469475
230,18,must,0.001480993911469475
345,18,modern,0.001480993911469475
528,18,however,0.001480993911469475
655,18,legal,0.001480993911469475
723,18,style,0.001480993911469475
1334,18,detective,0.001480993911469475
1,17,uses,0.0013987164719433932
48,17,forms,0.0013987164719433932
63,17,typically,0.0013987164719433932
69,17,called,0.0013987164719433932
111,17,others,0.0013987164719433932
167,17,either,0.0013987164719433932
184,17,within,0.0013987164719433932
195,17,character,0.0013987164719433932
237,17,culture,0.0013987164719433932
248,17,written,0.0013987164719433932
303,17,economic,0.0013987164719433932
393,17,even,0.0013987164719433932
398,17,cultural,0.0013987164719433932
543,17,made,0.0013987164719433932
598,17,period,0.0013987164719433932
797,17,considered,0.0013987164719433932
891,17,participants,0.0013987164719433932
922,17,football,0.0013987164719433932
1035,17,urban,0.0013987164719433932
27,16,activity,0.0013164390324173112
41,16,particular,0.0013164390324173112
75,16,part,0.0013164390324173112
94,16,become,0.0013164390324173112
214,16,main,0.0013164390324173112
245,16,ancient,0.0013164390324173112
290,16,leisure,0.0013164390324173112
335,16,destination,0.0013164390324173112
339,16,city,0.0013164390324173112
342,16,grand,0.0013164390324173112
749,16,variety,0.0013164390324173112
856,16,since,0.0013164390324173112
1254,16,literary,0.0013164390324173112
10,15,help,0.0012341615928912293
107,15,less,0.0012341615928912293
121,15,north,0.0012341615928912293
198,15,middle,0.0012341615928912293
246,15,times,0.0012341615928912293
357,15,educational,0.0012341615928912293
426,15,definition,0.0012341615928912293
685,15,purpose,0.0012341615928912293
754,15,low,0.0012341615928912293
1106,15,competition,0.0012341615928912293
1130,15,professional,0.0012341615928912293
1263,15,mystery,0.0012341615928912293
1351,15,setting,0.0012341615928912293
23,14,audience,0.0011518841533651473
128,14,traveling,0.0011518841533651473
148,14,english,0.0011518841533651473
181,14,global,0.0011518841533651473
294,14,today,0.0011518841533651473
310,14,increase,0.0011518841533651473
314,14,china,0.0011518841533651473
351,14,sustainable,0.0011518841533651473
387,14,national,0.0011518841533651473
436,14,society,0.0011518841533651473
469,14,following,0.0011518841533651473
475,14,france,0.0011518841533651473
480,14,italy,0.0011518841533651473
556,14,chinese,0.0011518841533651473
740,14,war,0.0011518841533651473
941,14,shows,0.0011518841533651473
1003,14,africa,0.0011518841533651473
1177,14,players,0.0011518841533651473
1248,14,animation,0.0011518841533651473
1266,14,romance,0.0011518841533651473
1337,14,dramas,0.0011518841533651473
1364,14,supernatural,0.0011518841533651473
1480,14,programs,0.0011518841533651473
8,13,sources,0.0010696067138390654
47,13,various,0.0010696067138390654
103,13,result,0.0010696067138390654
104,13,long,0.0010696067138390654
119,13,adventures,0.0010696067138390654
136,13,business,0.0010696067138390654
197,13,late,0.0010696067138390654
281,13,terms,0.0010696067138390654
332,13,destinations,0.0010696067138390654
364,13,growth,0.0010696067138390654
377,13,america,0.0010696067138390654
401,13,large,0.0010696067138390654
481,13,kingdom,0.0010696067138390654
490,13,south,0.0010696067138390654
534,13,seen,0.0010696067138390654
554,13,tales,0.0010696067138390654
703,13,developed,0.0010696067138390654
725,13,mid,0.0010696067138390654
807,13,order,0.0010696067138390654
866,13,specific,0.0010696067138390654
867,13,features,0.0010696067138390654
913,13,although,0.0010696067138390654
997,13,two,0.0010696067138390654
1014,13,islands,0.0010696067138390654
1271,13,thriller,0.0010696067138390654
71,12,psychological,0.0009873292743129835
116,12,needed,0.0009873292743129835
126,12,activities,0.0009873292743129835
204,12,feature,0.0009873292743129835
250,12,became,0.0009873292743129835
286,12,places,0.0009873292743129835
379,12,germany,0.0009873292743129835
382,12,local,0.0009873292743129835
403,12,services,0.0009873292743129835
412,12,resorts,0.0009873292743129835
449,12,given,0.0009873292743129835
525,12,art,0.0009873292743129835
574,12,northern,0.0009873292743129835
587,12,though,0.0009873292743129835
664,12,children,0.0009873292743129835
690,12,coast,0.0009873292743129835
699,12,zealand,0.0009873292743129835
781,12,present,0.0009873292743129835
842,12,related,0.0009873292743129835
874,12,focuses,0.0009873292743129835
1125,12,gender,0.0009873292743129835
1129,12,amateur,0.0009873292743129835
1158,12,military,0.0009873292743129835
1284,12,themes,0.0009873292743129835
1338,12,subgenres,0.0009873292743129835
3,11,disambiguation,0.0009050518347869014
16,11,material,0.0009050518347869014
35,11,effects,0.0009050518347869014
115,11,citation,0.0009050518347869014
132,11,river,0.0009050518347869014
146,11,instance,0.0009050518347869014
201,11,protagonist,0.0009050518347869014
213,11,hero,0.0009050518347869014
307,11,end,0.0009050518347869014
336,11,cities,0.0009050518347869014
346,11,winter,0.0009050518347869014
347,11,mass,0.0009050518347869014
368,11,high,0.0009050518347869014
392,11,important,0.0009050518347869014
441,11,live,0.0009050518347869014
536,11,roman,0.0009050518347869014
566,11,traditional,0.0009050518347869014
588,11,primarily,0.0009050518347869014
659,11,public,0.0009050518347869014
719,11,transport,0.0009050518347869014
768,11,ocean,0.0009050518347869014
784,11,future,0.0009050518347869014
1023,11,using,0.0009050518347869014
1099,11,olympic,0.0009050518347869014
1217,11,playing,0.0009050518347869014
1439,11,cyberpunk,0.0009050518347869014
6,10,article,0.0008227743952608195
12,10,adding,0.0008227743952608195
19,10,learn,0.0008227743952608195
