,TF,Term,wTF
703,186,virtue,0.009079814498413474
0,162,tradition,0.00790822553087625
668,149,humility,0.007273614840126922
746,131,virtues,0.006394923114474005
179,123,christian,0.006004393458628265
1283,120,ethics,0.005857944837686112
305,117,self,0.005711496216743959
578,105,moral,0.005125701732975348
665,103,folklore,0.005028069319013913
687,102,temperance,0.004979253112033195
749,89,life,0.004344642421283866
115,75,traditional,0.00366121552355382
877,72,character,0.003514766902611667
689,71,pride,0.0034659506956309493
891,71,sins,0.0034659506956309493
191,70,others,0.003417134488650232
1282,69,asceticism,0.0033683182816695145
1917,68,ascetic,0.0033195020746887966
30,67,social,0.003270685867708079
683,66,god,0.0032218696607273613
298,65,new,0.003173053453746644
259,64,will,0.0031242372467659265
1284,64,seven,0.0031242372467659265
334,61,century,0.0029777886258237733
600,61,folk,0.0029777886258237733
32,60,traditions,0.002928972418843056
739,60,human,0.002928972418843056
14,59,group,0.0028801562118623385
13,58,within,0.0028313400048816206
228,54,part,0.0026360751769587505
565,54,people,0.0026360751769587505
112,53,world,0.0025872589699780326
272,53,church,0.0025872589699780326
971,53,good,0.0025872589699780326
430,52,non,0.002538442762997315
50,51,time,0.0024896265560165973
58,51,used,0.0024896265560165973
763,51,man,0.0024896265560165973
122,50,form,0.00244081034903588
192,49,modern,0.0023919941420551625
560,49,practices,0.0023919941420551625
77,48,example,0.0023431779350744446
270,48,states,0.0023431779350744446
290,48,material,0.0023431779350744446
163,47,philosophy,0.002294361728093727
737,45,greek,0.002196729314132292
1153,45,movement,0.002196729314132292
698,44,person,0.0021479131071515745
277,43,christianity,0.0020990969001708566
1285,43,deadly,0.0020990969001708566
48,41,cultural,0.0020014644862094214
202,41,context,0.0020014644862094214
948,41,love,0.0020014644862094214
2164,41,artifacts,0.0020014644862094214
24,40,include,0.001952648279228704
65,40,according,0.001952648279228704
99,40,needed,0.001952648279228704
106,40,concept,0.001952648279228704
109,40,found,0.001952648279228704
466,40,early,0.001952648279228704
2162,40,lore,0.001952648279228704
123,39,performance,0.0019038320722479863
584,39,state,0.0019038320722479863
711,39,hinduism,0.0019038320722479863
83,37,another,0.0018061996582865512
137,37,groups,0.0018061996582865512
221,37,without,0.0018061996582865512
419,36,views,0.0017573834513058336
2,35,see,0.001708567244325116
34,35,word,0.001708567244325116
54,35,use,0.001708567244325116
229,35,even,0.001708567244325116
230,35,however,0.001708567244325116
438,35,among,0.001708567244325116
480,35,action,0.001708567244325116
164,34,religious,0.0016597510373443983
196,34,two,0.0016597510373443983
246,34,practice,0.0016597510373443983
265,34,culture,0.0016597510373443983
557,34,catholic,0.0016597510373443983
587,34,considered,0.0016597510373443983
802,34,jesus,0.0016597510373443983
17,33,meaning,0.0016109348303636807
67,33,means,0.0016109348303636807
102,33,defined,0.0016109348303636807
574,33,citation,0.0016109348303636807
1205,33,sin,0.0016109348303636807
7,32,thomas,0.0015621186233829632
42,32,ancient,0.0015621186233829632
98,32,term,0.0015621186233829632
371,32,myth,0.0015621186233829632
388,32,different,0.0015621186233829632
942,32,spiritual,0.0015621186233829632
1366,32,john,0.0015621186233829632
274,31,body,0.0015133024164022456
533,31,aristotle,0.0015133024164022456
1253,31,aparigraha,0.0015133024164022456
57,30,way,0.001464486209421528
187,30,law,0.001464486209421528
241,30,natural,0.001464486209421528
364,30,theory,0.001464486209421528
553,30,thought,0.001464486209421528
586,30,view,0.001464486209421528
625,30,made,0.001464486209421528
787,30,wisdom,0.001464486209421528
1218,30,list,0.001464486209421528
1384,30,children,0.001464486209421528
43,29,history,0.0014156700024408103
226,29,thus,0.0014156700024408103
321,29,became,0.0014156700024408103
996,29,must,0.0014156700024408103
1147,29,individual,0.0014156700024408103
22,28,common,0.0013668537954600927
829,28,greed,0.0013668537954600927
1170,28,jainism,0.0013668537954600927
1537,28,origin,0.0013668537954600927
1539,28,acedia,0.0013668537954600927
11,27,behavior,0.0013180375884793752
70,27,known,0.0013180375884793752
150,27,customs,0.0013180375884793752
236,27,important,0.0013180375884793752
392,27,make,0.0013180375884793752
637,27,wealth,0.0013180375884793752
646,27,living,0.0013180375884793752
924,27,aquinas,0.0013180375884793752
1345,27,alcohol,0.0013180375884793752
1505,27,envy,0.0013180375884793752
2171,27,audience,0.0013180375884793752
60,26,work,0.0012692213814986576
206,26,includes,0.0012692213814986576
315,26,rather,0.0012692213814986576
566,26,community,0.0012692213814986576
676,26,humble,0.0012692213814986576
1258,26,abstinence,0.0012692213814986576
1507,26,sloth,0.0012692213814986576
2166,26,verbal,0.0012692213814986576
104,25,order,0.00122040517451794
121,25,art,0.00122040517451794
181,25,testament,0.00122040517451794
193,25,seen,0.00122040517451794
239,25,much,0.00122040517451794
269,25,united,0.00122040517451794
