,TF,Term,Stem,wTF,SType,Score,wTFref
864,1755,environmental,environment,0.004561996360800624,raw,5.7182244016243615,1.4988619355446544e-05
1423,594,global,global,0.0015440603067325188,raw,5.194495373022463,8.564925345969454e-06
4114,297,vietnam,vietnam,0.0007720301533662594,raw,4.789030264914299,6.42369400947709e-06
3652,266,labour,labour,0.0006914478814660774,raw,4.391112362441517,8.564925345969454e-06
753,286,citation,citat,0.0007434364439823239,raw,4.240464313165461,1.0706156682461817e-05
671,283,enlightenment,enlighten,0.000735638159604887,stem,4.229919399988846,1.0706156682461817e-05
315,547,non,non,0.0014218871848193397,raw,4.195774124207644,2.1412313364923634e-05
994,163,portal,portal,0.00042370678450740835,raw,4.189048326918361,6.42369400947709e-06
1094,156,islam,islam,0.00040551078762672213,raw,4.145154133361136,6.42369400947709e-06
1093,146,hindu,hindu,0.0003795165063685989,raw,4.078904747819935,6.42369400947709e-06
1040,153,mysticism,mystic,0.00039771250324928517,stem,3.9250653520418832,7.851181567138665e-06
3497,483,equality,equal,0.0012555237847673513,raw,3.8890204186442814,2.569477603790836e-05
3150,240,pollution,pollut,0.0006238627501949571,raw,3.882789868893645,1.284738801895418e-05
3135,486,conservation,conserv,0.001263322069144788,raw,3.8151696812186655,2.7836007374400724e-05
3867,108,mid,mid,0.0002807382375877307,raw,3.7774293532358185,6.42369400947709e-06
2952,106,pacifism,pacif,0.0002755393813361061,raw,3.7587372202236664,6.42369400947709e-06
7864,136,quakers,quaker,0.0003535222251104757,raw,3.72027093939587,8.564925345969454e-06
1528,100,islamic,islam,0.0002599428125812321,raw,3.7004683120996904,6.42369400947709e-06
3144,100,impacts,impact,0.0002599428125812321,raw,3.7004683120996904,6.42369400947709e-06
4988,97,extinction,extinct,0.00025214452820379515,raw,3.670009104614982,6.42369400947709e-06
1833,129,buddhist,buddhist,0.00033532622822978945,raw,3.66742845802149,8.564925345969454e-06
6190,160,mystical,mystic,0.0004159085001299714,raw,3.659646317579435,1.0706156682461817e-05
3098,95,zealand,zealand,0.00024694567195217054,raw,3.64917501771214,6.42369400947709e-06
3168,95,programme,programm,0.00024694567195217054,stem,3.64917501771214,6.42369400947709e-06
1420,452,sustainable,sustain,0.0011749415128671692,stem,3.633443945185411,3.104785437913927e-05
1023,248,unitarian,unitarian,0.0006446581752014557,raw,3.627897619264855,1.7129850691938907e-05
4188,186,web,web,0.00048349363140109177,raw,3.627897619264855,1.284738801895418e-05
3124,264,resource,resourc,0.0006862490252144528,raw,3.5726349405898055,1.927108202843127e-05
296,142,template,templat,0.00036911879386534964,raw,3.540299559946869,1.0706156682461817e-05
3161,85,indigenous,indigen,0.0002209513906940473,raw,3.5379493826019153,6.42369400947709e-06
1543,84,muslim,muslim,0.00021835196256823498,raw,3.5261149249549124,6.42369400947709e-06
1280,111,texts,text,0.00028853652196516764,raw,3.517146254972152,8.564925345969454e-06
2717,83,marxist,marxist,0.00021575253444242268,raw,3.514138733908197,6.42369400947709e-06
282,127,citations,citat,0.0003301273719781648,stem,3.4286595888041997,1.0706156682461817e-05
4458,76,iraq,iraq,0.0001975565375617364,raw,3.42603146639793,6.42369400947709e-06
3898,74,muslims,muslim,0.00019235768131011178,stem,3.399363219315769,6.42369400947709e-06
2152,216,buddhism,buddhism,0.0005614764751754614,raw,3.3719642451276544,1.927108202843127e-05
4666,168,organisms,organ,0.00043670392513646996,raw,3.3719642451276544,1.4988619355446544e-05
3491,167,biology,biolog,0.00043410449701065766,raw,3.3659940781411506,1.4988619355446544e-05
2208,116,liberation,liber,0.00030153366259422925,raw,3.338062693451973,1.0706156682461817e-05
461,69,perspectives,perspect,0.00017936054068105016,raw,3.3294046307088583,6.42369400947709e-06
4170,223,retrieved,retriev,0.0005796724720561477,raw,3.298497093245782,2.1412313364923634e-05
45,133,teachings,teach,0.0003457239407330387,raw,3.2925000737734074,1.284738801895418e-05
1287,88,scripture,scriptur,0.00022874967507148427,raw,3.2849528681380247,8.564925345969454e-06
4159,88,archived,archiv,0.00022874967507148427,stem,3.2849528681380247,8.564925345969454e-06
3951,430,socialism,social,0.0011177540940992981,raw,3.2619633499133256,4.282462672984727e-05
3461,149,environmentalism,environment,0.00038731479074603586,stem,3.2519465716698543,1.4988619355446544e-05
2340,83,evolutionary,evolutionari,0.00021575253444242268,raw,3.226456661456416,8.564925345969454e-06
3061,142,interfaith,interfaith,0.00036911879386534964,raw,3.203827323325656,1.4988619355446544e-05
3496,292,sustainability,sustain,0.0007590330127371978,stem,3.1965155676214616,3.104785437913927e-05
3141,60,protocol,protocol,0.00015596568754873928,raw,3.1896426883337,6.42369400947709e-06
8365,99,greens,green,0.0002573433844554198,raw,3.1795923524801983,1.0706156682461817e-05
408,178,humans,human,0.0004626982063945932,raw,3.1784693877355745,1.927108202843127e-05
